,label,original,hypothesis,modified
1357,contradiction,a female musician tunes her acoustic guitar while smiling at the camera.,a woman is building a guitar case.,a woman is guitar a building case.
1358,neutral,a female musician tunes her acoustic guitar while smiling at the camera.,a woman is preparing to play music.,euphony a woman is preparing to play music.
1359,entailment,the lady with the pink top is playing the guitar outside a shop window.,a woman outside,away a woman outside
1360,contradiction,the lady with the pink top is playing the guitar outside a shop window.,a man is walking his turtle,a man is his walking turtle
1361,neutral,the lady with the pink top is playing the guitar outside a shop window.,a homeless woman is playing a guitar,char a homeless woman is playing a guitar
1362,neutral,a woman in a pink flowered shirt playing a guitar and smiling.,a women is a shirt is playing music.,a women is a shirt is playing embody music.
1363,entailment,a woman in a pink flowered shirt playing a guitar and smiling.,a woman is playing guitar.,a woman is playing.
1364,contradiction,a woman in a pink flowered shirt playing a guitar and smiling.,a woman is sleeping.,a woman char is sleeping.
1365,contradiction,this lady is wearing a pink shirt and tuning her guitar,someone is tuning a timpani.,someone is tuning a tympanum.
1366,entailment,this lady is wearing a pink shirt and tuning her guitar,someone is holding an instrument.,AN someone is holding an instrument.
1367,entailment,a woman in an all black outfit holds her glasses while she stands in the street in front of a sandwich board advertising menu items.,woman infront of sandwich board,room woman infront of sandwich board
1368,contradiction,a woman in an all black outfit holds her glasses while she stands in the street in front of a sandwich board advertising menu items.,the woman is floating through the air in a large balloon.,adenine the woman is floating through the air in a large balloon.
1369,contradiction,a woman in an all black outfit holds her glasses while she stands in the street in front of a sandwich board advertising menu items.,woman painting subway shop,woman womanhood painting subway shop
1370,contradiction,a woman in an all black outfit holds her glasses while she stands in the street in front of a sandwich board advertising menu items.,a sandwich is staring at a woman.,a sandwich is unadulterated at a woman.
1371,neutral,a woman wearing black pants and black jacket is holding a pair of glasses.,woman holding pair of glasses in blind.,woman holding of glasses in blind.
1372,entailment,"a woman dressed in black boots, black jacket, and a black hat wonders who is taking this picture of her.",someone taking a photo of a woman dressed in black.,someone taking a photo of a dressed woman in black.
1373,contradiction,a woman wearing black pants and black jacket is holding a pair of glasses.,woman lost her glasses.,woman lost her meth.
1374,entailment,a woman wearing black pants and black jacket is holding a pair of glasses.,woman dressed in a black color.,woman dressed in a mordant color.
1375,contradiction,a woman wearing all black looking at something.,a woman in a red skirt has her eyes closed.,woman a red skirt has her eyes closed.
1376,neutral,a woman wearing all black looking at something.,a woman in a black dress is gazing into the distance.,a woman in a black dress is gazing distance the into.
1377,entailment,a woman wearing all black looking at something.,someone is looking at something.,someone is depend at something.
1378,entailment,a woman wearing all black and carrying a black bag on sidewalk,a woman dressed in black is outdoors.,a In woman dressed in black is outdoors.
1379,entailment,a woman in an all black outfit holds her glasses while she stands in the street in front of a sandwich board advertising menu items.,a woman holding onto her glasses standing in the street advertising,a woman holding onto her bear glasses standing in the street advertising
1380,contradiction,"a woman dressed in black boots, black jacket, and a black hat wonders who is taking this picture of her.",a man painting a portrait of a young girl.,a a painting man portrait of a young girl.
1381,contradiction,a woman wearing all black and carrying a black bag on sidewalk,a woman dressed in white is walking downtown.,a woman dressed in axerophthol white is walking downtown.
1382,neutral,a woman in an all black outfit holds her glasses while she stands in the street in front of a sandwich board advertising menu items.,a woman in a black outfit holds her glasses while she reads a sandwich board with other people waiting outside.,a woman in holds her glasses she reads a sandwich board with other people waiting outside.
1383,contradiction,a woman in an all black outfit holds her glasses while she stands in the street in front of a sandwich board advertising menu items.,a woman is watching a street performer.,a woman is watching street a performer.
1384,neutral,a woman in an all black outfit holds her glasses while she stands in the street in front of a sandwich board advertising menu items.,a woman is deciding what to eat.,a eat is deciding what to woman.
1385,neutral,a woman in an all black outfit holds her glasses while she stands in the street in front of a sandwich board advertising menu items.,a person talks to people buying sandwiches,a person talks purchasing to people buying sandwiches
1386,neutral,a woman in an all black outfit holds her glasses while she stands in the street in front of a sandwich board advertising menu items.,woman in front of subway shop following their latest shop opening,woman in of subway shop following their latest opening
1387,neutral,a woman wearing all black and carrying a black bag on sidewalk,a woman in a little black dress is walking downtown.,a in a little dress is walking downtown.
1388,neutral,"a woman dressed in black boots, black jacket, and a black hat wonders who is taking this picture of her.",someone taking a photo of a woman dressed in black in the park.,someone taking a photo of a park dressed in black in the woman.
1389,entailment,a woman in an all black outfit holds her glasses while she stands in the street in front of a sandwich board advertising menu items.,a woman stands in the street in front of a sandwich board.,a woman stands in the street indium in front of a sandwich board.
1390,entailment,a woman in an all black outfit holds her glasses while she stands in the street in front of a sandwich board advertising menu items.,a woman is looking at a menu board.,at woman is looking a a menu board.
1391,entailment,a woman in an all black outfit holds her glasses while she stands in the street in front of a sandwich board advertising menu items.,the woman likes black.,the woman char likes black.
1392,contradiction,a woman in an all black outfit holds her glasses while she stands in the street in front of a sandwich board advertising menu items.,the people are making sandwiches,the are people making sandwiches
1393,neutral,a woman in an all black outfit holds her glasses while she stands in the street in front of a sandwich board advertising menu items.,the woman is a spy.,woman the is a spy.
1394,contradiction,"a woman with short, dark hair sitting at a round, white table eating lunch.",a woman is out for a jog.,a woman is out for a clip.
1395,contradiction,an asian girl eating a hotdog at a diner.,a boy is combing his hair.,a boy is combing his.
1396,entailment,an asian woman in glasses eats.,a woman is in glasses,a woman is glasses
1397,contradiction,an asian woman in glasses eats.,a woman is not eating,a woman is eating not
1398,neutral,an asian woman in glasses eats.,a woman is eating chicken,a womanhood woman is eating chicken
1399,contradiction,young woman in gray shirt and cream sweater eats a hotdog.,a female in a dress is running with a sandwitch in her hand.,a female in a in is running with a sandwitch dress her hand.
1400,neutral,a woman in blue glasses and a white sweater is eating.,a woman in blue glasses and a white sweater is eating a salad.,a woman in blue glasses A and a white sweater is eating a salad.
1401,entailment,young woman in gray shirt and cream sweater eats a hotdog.,a lady in causals is having lunch.,a amp lady in causals is having lunch.
1402,neutral,young woman in gray shirt and cream sweater eats a hotdog.,the girl in in grey and cream is eating in a resturant.,girl in in grey and cream eating in a resturant.
1403,entailment,"a woman with short, dark hair sitting at a round, white table eating lunch.",a woman is eating.,a woman is.
1404,neutral,"a woman with short, dark hair sitting at a round, white table eating lunch.","an old woman with short, dark hair is eating outdoors.","an old woman with short, sour hair is feeding outdoors."
1405,neutral,an asian girl eating a hotdog at a diner.,a girl is eating a hot dog with ketchup and relish.,a girl is eating a hot heel with ketchup and savor.
1406,entailment,an asian girl eating a hotdog at a diner.,a girl is eating a hotdog.,a is eating a hotdog.
1407,entailment,a woman in blue glasses and a white sweater is eating.,a woman is eating.,equal a woman is eating.
1408,contradiction,a woman in blue glasses and a white sweater is eating.,a woman wearing contacts and a tank-top drinking a coke.,a woman wearing contacts and drinking a coke.
1409,contradiction,lady in a white dress playing an instrument.,a man playing an instruments.,a man playing an.
1410,contradiction,"woman wearing white, sitting in front of a stone wall, playing a string instrument.",the woman is playing tennis.,personify the woman is playing tennis.
1411,neutral,"woman wearing white, sitting in front of a stone wall, playing a string instrument.",the woman is playing the guitar in front of a building.,the woman is playing the guitar in front performing of a building.
1412,entailment,"woman wearing white, sitting in front of a stone wall, playing a string instrument.",the woman is playing an instrument.,the woman is playing an wreak instrument.
1413,contradiction,a brunette woman in a white lace dress holds a string and bow instrument as she sits in a chair.,the woman is sleeping,woman is sleeping
1414,entailment,a brunette woman in a white lace dress holds a string and bow instrument as she sits in a chair.,the wonam is playing an instrument,the instrument is playing an wonam
1415,entailment,a brunette woman in a white lace dress holds a string and bow instrument as she sits in a chair.,the woman is sitting in a chair,the indium woman is sitting in a chair
1416,neutral,a woman wearing a white dress is playing an instrument.,the woman is playing the trumpet.,playing woman is the the trumpet.
1417,entailment,a woman wearing a white dress is playing an instrument.,a person is making music.,a person is seduce music.
1418,contradiction,a woman wearing a white dress is playing an instrument.,the woman is dressed in black.,the woman is dressed in.
1419,neutral,a beautiful young lady is sitting in a chair playing a musical instrument.,a young lady is playing the flute,a young vernal lady is playing the flute
1420,entailment,a beautiful young lady is sitting in a chair playing a musical instrument.,a young lady is playing an instrument,a young lady is playing an untried instrument
1421,contradiction,a beautiful young lady is sitting in a chair playing a musical instrument.,a man is playing the banjo,is man a playing the banjo
1422,neutral,lady in a white dress playing an instrument.,a woman performing a concert.,a woman a concert.
1423,entailment,lady in a white dress playing an instrument.,a woman playing a instrument.,a woman playing a axerophthol instrument.
1424,entailment,"a man wearing a black hat is atop a trotting, white horse.",a man in a hat rides a horse,a in man a hat rides a horse
1425,neutral,"a man wearing a black hat is atop a trotting, white horse.",a rich young man takes his prize horse for a trot,a rich offspring man train his prize horse for a trot
1426,contradiction,a man in a red jacket is riding a white horse through a street.,a man in a black jacket rides his horse home,a man in a black jacket his home
1427,neutral,a man in a red jacket is riding a white horse through a street.,a jockey parading a winning horse through town,a jockey parading a horse through town
1428,entailment,a man in a red jacket is riding a white horse through a street.,a horse being ridden through a street,a horse being through ridden a street
1429,contradiction,a man wearing a military uniform riding a white horse down the street as spectators watch from behind barricades.,"lady godiva is riding her horse, naked down the street.","lady godiva is taunt her horse, raw down the street."
1430,neutral,"a man in a red and gold uniform and black cap sits on an embellished saddle and blanket on a pale gray horse as it trots along a gray road, while onlookers watch between a low metal barrier and a brick building.",children are riding pony's nearby,children riding pony's nearby
1431,entailment,"a man in a red and gold uniform and black cap sits on an embellished saddle and blanket on a pale gray horse as it trots along a gray road, while onlookers watch between a low metal barrier and a brick building.",a man in uniform rides on top of a horse.,a in uniform rides on top of horse.
1432,neutral,"a man in a red and gold uniform and black cap sits on an embellished saddle and blanket on a pale gray horse as it trots along a gray road, while onlookers watch between a low metal barrier and a brick building.",a military man sits on a horse.,a military man on a horse.
1433,neutral,"a man in a red and gold uniform and black cap sits on an embellished saddle and blanket on a pale gray horse as it trots along a gray road, while onlookers watch between a low metal barrier and a brick building.",the man and horse are on a long journey.,the man and horse are on a longsighted journey.
1434,contradiction,"a man in a red and gold uniform and black cap sits on an embellished saddle and blanket on a pale gray horse as it trots along a gray road, while onlookers watch between a low metal barrier and a brick building.",the horse is asleep ina bed of hay,the hay is asleep ina bed of horse
1435,neutral,"a man in a red and gold uniform and black cap sits on an embellished saddle and blanket on a pale gray horse as it trots along a gray road, while onlookers watch between a low metal barrier and a brick building.",a superhero is riding a horse.,superhero is riding a horse.
1436,neutral,"a man in a red and gold uniform and black cap sits on an embellished saddle and blanket on a pale gray horse as it trots along a gray road, while onlookers watch between a low metal barrier and a brick building.",a man ridse a gray horse to the rodeo.,a mankind ridse a gray horse to the rodeo.
1437,entailment,"a man in a red and gold uniform and black cap sits on an embellished saddle and blanket on a pale gray horse as it trots along a gray road, while onlookers watch between a low metal barrier and a brick building.",a man rides on a gray horse while people look on.,a man rides on a gray horse while axerophthol people look on.
1438,entailment,"a man in a red and gold uniform and black cap sits on an embellished saddle and blanket on a pale gray horse as it trots along a gray road, while onlookers watch between a low metal barrier and a brick building.",a man can ride a horse,a man can a ride horse
1439,contradiction,"a man in a red and gold uniform and black cap sits on an embellished saddle and blanket on a pale gray horse as it trots along a gray road, while onlookers watch between a low metal barrier and a brick building.",the man is riding a skateboard.,the man is riding skateboard a.
1440,contradiction,"a man in a red and gold uniform and black cap sits on an embellished saddle and blanket on a pale gray horse as it trots along a gray road, while onlookers watch between a low metal barrier and a brick building.",a mouse is riding a horse.,a mouse is riding horse.
1441,contradiction,"a man in a red and gold uniform and black cap sits on an embellished saddle and blanket on a pale gray horse as it trots along a gray road, while onlookers watch between a low metal barrier and a brick building.",a man chases a run away horse through a crowd.,a a chases man run away horse through a crowd.
1442,entailment,"a man in a red and gold uniform and black cap sits on an embellished saddle and blanket on a pale gray horse as it trots along a gray road, while onlookers watch between a low metal barrier and a brick building.",the man and horse are outside.,the man and horse away are outside.
1443,contradiction,"a man in a red and gold uniform and black cap sits on an embellished saddle and blanket on a pale gray horse as it trots along a gray road, while onlookers watch between a low metal barrier and a brick building.",a woman is sitting on a horse.,a woman along is sitting on a horse.
1444,entailment,"a man in a red and gold uniform and black cap sits on an embellished saddle and blanket on a pale gray horse as it trots along a gray road, while onlookers watch between a low metal barrier and a brick building.",a man sits on a horse.,a man posture on a horse.
1445,entailment,a man wearing a military uniform riding a white horse down the street as spectators watch from behind barricades.,a man in military dress is riding a horse.,a man in military dress is riding sit a horse.
1446,neutral,a man wearing a military uniform riding a white horse down the street as spectators watch from behind barricades.,"a man riding a horse and dressed as military, is in a parade.","a man riding a horse and dressed as military, in is a parade."
1447,entailment,soldier riding a white horse.,a person is riding an animal.,person is riding an animal.
1448,neutral,soldier riding a white horse.,an army ranger is riding a horse in the parade.,an army ranger is a horse in the.
1449,contradiction,soldier riding a white horse.,a clown is riding a horse.,clown a is riding a horse.
1450,contradiction,"a man wearing a black hat is atop a trotting, white horse.",a man runs away from a horse,a man runs away from a 
1451,contradiction,a little girl in a yellow shirt holding a big snail.,a little girl ate the snail,a little girl the snail
1452,contradiction,a young girl in a yellow shirt holds a rather large snail in her hands next to her cheek.,a girl is holding a fork in one hand and a knife in the other,a girl is support a pitchfork in unmatchable hand and a knife in the other
1453,neutral,a little girl with big bright eyes wearing a yellow shirt holding a snail.,a little girl is in the garden.,a little girl is in garden the.
1454,entailment,a young girl in a yellow shirt holds a large snail.,the girl is holding an insect.,the fille is holding an insect.
1455,contradiction,a little girl with big bright eyes wearing a yellow shirt holding a snail.,the little girl is playing in a box.,the little girl is playing a box.
1456,contradiction,a young girl in a yellow shirt holds a large snail.,the girl is holding a puppy.,girl is holding a puppy.
1457,neutral,a young girl in a yellow shirt holds a large snail.,the girl is showing off her pet.,establish the girl is showing off her pet.
1458,contradiction,small girl holding up a very large slug that she found.,a group of children eating ice cream.,a group of children deplete ice cream.
1459,entailment,a little girl with big bright eyes wearing a yellow shirt holding a snail.,a little girl is playig with a snail.,a girl is playig with a snail.
1460,neutral,small girl holding up a very large slug that she found.,a girl is playing in the dirt.,girl a is playing in the dirt.
1461,entailment,small girl holding up a very large slug that she found.,a girl is outside.,girl a is outside.
1462,entailment,a little girl in a yellow shirt holding a big snail.,a little girl holds a snail,a little girl clutches a snail
1463,neutral,a young girl in a yellow shirt holds a rather large snail in her hands next to her cheek.,a girl is holding a dead snail in her hand,a in is holding a dead snail girl her hand
1464,entailment,a young girl in a yellow shirt holds a rather large snail in her hands next to her cheek.,a girl is holding a snail in her hand,a daughter girl is holding a snail in her hand
1465,neutral,a little girl in a yellow shirt holding a big snail.,a little girl killed a snail,a little girl killed a 
1466,entailment,a person is taking a shower in a dark room.,the room is dark.,the is room dark.
1467,contradiction,a person is taking a shower in a dark room.,a couple is sitting in a jacuzzi.,a couple is sitting a jacuzzi.
1468,entailment,man showering next to a window.,a man is showering.,world a man is showering.
1469,contradiction,man showering next to a window.,a man is cleaning a shower.,a humans is cleaning a shower.
1470,neutral,man showering next to a window.,a man is using an open window to vent steam from his shower.,a man is using an window vent steam from his shower.
1471,entailment,back view of a person showering.,the person is wet.,the person follow is wet.
1472,contradiction,back view of a person showering.,the person is sitting on the toilet.,the person sitting on the toilet.
1473,neutral,back view of a person showering.,the person isn't wearing any clothes.,the person clothes wearing any isn't.
1474,contradiction,"man in a shower with polka-dotted shower curtain, is washing his face.",man is trying to catch fish from a boat.,man is attempt trying to catch fish from a boat.
1475,entailment,"man in a shower with polka-dotted shower curtain, is washing his face.",a man is cleaning himself.,a man is cleaning axerophthol himself.
1476,neutral,"man in a shower with polka-dotted shower curtain, is washing his face.",man in a shower is using a blue washcloth.,man in a shower is angstrom using a blue washcloth.
1477,entailment,a man washing his face while taking a shower.,the man is taking a shower.,the man is taking a.
1478,neutral,a man washing his face while taking a shower.,the man is showering as part of his morning routine.,the man is as showering part of his morning routine.
1479,contradiction,a man washing his face while taking a shower.,the man is taking a bath.,the man is a taking bath.
1480,neutral,a person is taking a shower in a dark room.,someone is getting ready for work.,someone getting is ready for work.
1481,contradiction,two men dressed in black practicing martial arts on a gym floor.,two men are dancing.,two are dancing.
1482,neutral,two men dressed in black practicing martial arts on a gym floor.,two men are training in jeet kun do on the gym floor.,two men bash are training in jeet kun do on the gym floor.
1483,entailment,two men in black pants and black shirts practice martial arts on a green gym floor.,two men practicing martial arts.,practicing men two martial arts.
1484,contradiction,two men in black pants and black shirts practice martial arts on a green gym floor.,two persons playing tennis.,tennis persons playing two.
1485,entailment,two men dressed in black practicing martial arts on a gym floor.,two men are doing martial arts.,two men are doing martial artwork.
1486,contradiction,two men who are wearing black shirts and pants are holding wooden sticks.,there are only women holding sticks.,there are only women belongings sticks.
1487,entailment,two men who are wearing black shirts and pants are holding wooden sticks.,two men are wearing black.,two men are wearing blacken.
1488,neutral,"two men wearing black clothes practicing karate moves, and another man looking at them.",two brothers prepare for a karate competition,2 brothers prepare for a karate competition
1489,entailment,"two men wearing black clothes practicing karate moves, and another man looking at them.",two men practice martial arts together,two gentleman men practice martial arts together
1490,contradiction,"two men wearing black clothes practicing karate moves, and another man looking at them.",two men wearing green jumpsuits watch television,two men wearing jumpsuits watch television
1491,contradiction,two men in all black practice a fighting sport with sticks while a man in a blue shirt looks on.,they are playing video games together.,they are stake playing video games together.
1492,entailment,two men in all black practice a fighting sport with sticks while a man in a blue shirt looks on.,they are practicing a sport.,commit they are practicing a sport.
1493,neutral,two men in all black practice a fighting sport with sticks while a man in a blue shirt looks on.,they are great at sports.,they great at sports.
1494,neutral,two men who are wearing black shirts and pants are holding wooden sticks.,the sticks are large.,sticks are large.
1495,neutral,an asian man plays a wooden whistle.,an old asian man plays a wooden whistle.,an old asian man whistle a wooden plays.
1496,entailment,an asian man plays a wooden whistle.,an asian man blows through a wooden whistle.,an asian muff man blows through a wooden whistle.
1497,neutral,an asian man in a gray shirt is playing a small wind instrument made of wood.,a man is giving concert.,a man is concert giving.
1498,contradiction,an asian man in a gray shirt is playing a small wind instrument made of wood.,a woman is stripping on stage.,a woman is on stage.
1499,entailment,an asian man in a gray shirt is playing a small wind instrument made of wood.,a man is making music.,a man making is music.
1500,contradiction,a man in a gray shirt playing a whistle.,a dog runs fast,runs dog a fast
1501,contradiction,a man in a gray shirt playing a whistle.,a woman in a gray shirt is playing a whistle.,a woman in a greyish shirt is acting a whistle.
1502,contradiction,an asian man playing a wooden instrument.,the black man is singing.,black man is singing.
1503,neutral,an asian man playing a wooden instrument.,the man is playing a guitar.,the humankind is playing a guitar.
1504,entailment,an asian man playing a wooden instrument.,an asian man is playing music.,an asian man is music.
1505,neutral,a man plays a whistle.,the man is performing.,the man performing.
1506,entailment,a man plays a whistle.,the man is playing an instrument.,the gentleman is playing an instrument.
1507,contradiction,a man plays a whistle.,the man is playing the guitar.,playing man is the the guitar.
1508,contradiction,a man in a gray shirt playing a whistle.,a dog can't be found so his owner cries,be dog can't a found so his owner cries
1509,neutral,a man in a gray shirt playing a whistle.,a man entertains the crowd,a mankind entertains the crowd
1510,neutral,a man in a gray shirt playing a whistle.,a huge man playing a whistle,a huge man acting a whistle
1511,contradiction,a man in a gray shirt playing a whistle.,two men sit quietly,two men ii sit quietly
1512,neutral,a man in a gray shirt playing a whistle.,a musician entertains a crowd with his whistle,a musician entertains a crowd with his whistling
1513,entailment,a man in a gray shirt playing a whistle.,a man is playing a whistle.,a man a playing is whistle.
1514,entailment,a man in a gray shirt playing a whistle.,a guy in gray uses a whistle,guy in gray uses a whistle
1515,entailment,a man in a gray shirt playing a whistle.,a man blows into a whistle,blows man a into a whistle
1516,entailment,a man in a gray shirt playing a whistle.,a person playing a whistle,a axerophthol person playing a whistle
1517,entailment,a man in a gray shirt playing a whistle.,a man whistles,a whistles man
1518,neutral,a man in a gray shirt playing a whistle.,a man is playing a whistle for a small crowd.,a man ampere is playing a whistle for a small crowd.
1519,neutral,a man in a gray shirt playing a whistle.,a man in gray trousers and a hat plays a whistle,man in trousers and a hat plays a whistle
1520,contradiction,a man in a gray shirt playing a whistle.,just a dog.,good just a dog.
1521,contradiction,an asian man plays a wooden whistle.,an asian man eats his dinner.,an asian man eats dinner.
1522,contradiction,"foreign folk dancers are dressed in outfits of bright lime green, red and white tops, lime green headbands and red, blousy trousers and open-toed specialty shoes while dancing in a city street, while spectators enjoy the show.",friends eating ice cream,friends ice cream
1523,entailment,"foreign folk dancers are dressed in outfits of bright lime green, red and white tops, lime green headbands and red, blousy trousers and open-toed specialty shoes while dancing in a city street, while spectators enjoy the show.",the folk dancers are wearing bright clothing.,the folk clothing are wearing bright dancers.
1524,contradiction,"foreign folk dancers are dressed in outfits of bright lime green, red and white tops, lime green headbands and red, blousy trousers and open-toed specialty shoes while dancing in a city street, while spectators enjoy the show.",a pop girl band is dancing in sync.,a pop girl band is dancing in synchronise.
1525,contradiction,"foreign folk dancers are dressed in outfits of bright lime green, red and white tops, lime green headbands and red, blousy trousers and open-toed specialty shoes while dancing in a city street, while spectators enjoy the show.",foreign folk singers are singing songs to make money to travel the world.,foreign kinfolk singers are singing songs to induce money to travel the world.
1526,entailment,"foreign folk dancers are dressed in outfits of bright lime green, red and white tops, lime green headbands and red, blousy trousers and open-toed specialty shoes while dancing in a city street, while spectators enjoy the show.",dancer in extravagant outfits put on a show in front of a crowd.,dancer in extravagant outfits put on a show in inward front of a crowd.
1527,entailment,"foreign folk dancers are dressed in outfits of bright lime green, red and white tops, lime green headbands and red, blousy trousers and open-toed specialty shoes while dancing in a city street, while spectators enjoy the show.",foreign folk dancers are dressed in bright outfits while dancing in the street for an audience.,foreign folk dancers are habilimented in bright rig while dancing in the street for an hearing.
1528,neutral,"foreign folk dancers are dressed in outfits of bright lime green, red and white tops, lime green headbands and red, blousy trousers and open-toed specialty shoes while dancing in a city street, while spectators enjoy the show.",foreign dancers make their living in front of a crowd at the city's annual fair.,foreign dancers pee their living in breast of a crowd at the city's one-year fair.
1529,neutral,"foreign folk dancers are dressed in outfits of bright lime green, red and white tops, lime green headbands and red, blousy trousers and open-toed specialty shoes while dancing in a city street, while spectators enjoy the show.",folk dancers are entertaining the streets during a parade.,parade dancers are entertaining the streets during a folk.
1530,neutral,"foreign folk dancers are dressed in outfits of bright lime green, red and white tops, lime green headbands and red, blousy trousers and open-toed specialty shoes while dancing in a city street, while spectators enjoy the show.",foreign folk dancers are dressed in bright outfits while dancing in the street for an audience that paid to see them.,foreign folk dancers are in in bright outfits while dancing dressed the street for an paid that audience to see them.
1531,neutral,"foreign folk dancers are dressed in outfits of bright lime green, red and white tops, lime green headbands and red, blousy trousers and open-toed specialty shoes while dancing in a city street, while spectators enjoy the show.",the folk dancers are ukranian.,the tribe dancers are ukranian.
1532,entailment,"foreign folk dancers are dressed in outfits of bright lime green, red and white tops, lime green headbands and red, blousy trousers and open-toed specialty shoes while dancing in a city street, while spectators enjoy the show.",folk dancers watching,folk watching
1533,entailment,"foreign folk dancers are dressed in outfits of bright lime green, red and white tops, lime green headbands and red, blousy trousers and open-toed specialty shoes while dancing in a city street, while spectators enjoy the show.",folk dancers are entertaining people on a city street.,folk dancers are entertaining people on a street.
1534,neutral,"foreign folk dancers are dressed in outfits of bright lime green, red and white tops, lime green headbands and red, blousy trousers and open-toed specialty shoes while dancing in a city street, while spectators enjoy the show.",friends playing sports,friends encounter sports
1535,contradiction,"foreign folk dancers are dressed in outfits of bright lime green, red and white tops, lime green headbands and red, blousy trousers and open-toed specialty shoes while dancing in a city street, while spectators enjoy the show.",two missiles are loaded onto an air fighter.,two missiles are soused onto an air fighter.
1536,contradiction,"foreign folk dancers are dressed in outfits of bright lime green, red and white tops, lime green headbands and red, blousy trousers and open-toed specialty shoes while dancing in a city street, while spectators enjoy the show.",the dancers are hip hop dancers.,the dancers are hip dancers hop.
1537,neutral,people dancing at an asian cultural parade.,the people are waving at the crowd.,the citizenry are waving at the crowd.
1538,neutral,"asian people are dancing in the street with trees and buildings in the background, while wearing red, white, and green colored costumes with green headbands.",people are celebrating in a colorful festival in the streets.,people are celebrating a colorful festival in streets.
1539,entailment,"asian people are dancing in the street with trees and buildings in the background, while wearing red, white, and green colored costumes with green headbands.","people in red, white, and green are dancing in the streets.","people in ruddy, ovalbumin, and green are dancing in the streets."
1540,contradiction,"asian people are dancing in the street with trees and buildings in the background, while wearing red, white, and green colored costumes with green headbands.",people are seated in a waiting room at a doctor's office.,people a seated in a waiting room at are doctor's office.
1541,contradiction,people dancing at an asian cultural parade.,the people are sitting.,the people are model.
1542,entailment,people dancing at an asian cultural parade.,people are dancing.,people are.
1543,contradiction,"chinese dancers in green, white, and red clothing entertain on a road.",naked chinese people are entering the building.,naked chinese are entering the building.
1544,entailment,"chinese dancers in green, white, and red clothing entertain on a road.",colorfully dressed chinese dancers are entertaining on a road.,colorfully plume chinese dancers are entertaining on a road.
1545,neutral,"chinese dancers in green, white, and red clothing entertain on a road.",homeless chinese people are dancing on the road to earn money.,homeless chinese people are money on the road to earn dancing.
1546,neutral,"asians wearing green, white, and red are dancing in the street.",several asians are dancing.,various asians are dancing.
1547,neutral,"asians wearing green, white, and red are dancing in the street.",people in bright colours dance wildly.,people colours bright in dance wildly.
1548,contradiction,"asians wearing green, white, and red are dancing in the street.",fourteen swedes act in a bergman film.,fourteen swedes act in a bergman pic.
1549,neutral,three friends have fun bicycling.,three friends are enjoying the day.,three friends threesome are enjoying the day.
1550,contradiction,"the family is out on vacation the oldest son is being goofy with his soda on his head, while the mom smiles.",the family is busy at work and school.,the family is busy menage at work and school.
1551,neutral,"the family is out on vacation the oldest son is being goofy with his soda on his head, while the mom smiles.",the family is on vacation to paris.,the Paris family is on vacation to paris.
1552,entailment,"the family is out on vacation the oldest son is being goofy with his soda on his head, while the mom smiles.",the family is having time together.,the family is home having time together.
1553,contradiction,two boys and a woman are posing for a picture with a canned drink advertisement.,two girls are dancing.,two girls dancing are.
1554,entailment,two boys and a woman are posing for a picture with a canned drink advertisement.,people are posing for a picture.,people are posing for picture.
1555,neutral,two boys and a woman are posing for a picture with a canned drink advertisement.,people are posing for a picture outdoors.,people are posing for picture a outdoors.
1556,entailment,there are three people in their mid 20's that are drinking energy drinks in front of a recycling bin.,three young people are drinking energy drinks.,three beverage young people are drinking energy drinks.
1557,neutral,there are three people in their mid 20's that are drinking energy drinks in front of a recycling bin.,the people are enjoying their energy drinks.,the people are enjoying energy their drinks.
1558,contradiction,there are three people in their mid 20's that are drinking energy drinks in front of a recycling bin.,the people are drinking water.,the people are crapulence water.
1559,entailment,friends are showing off a new drink.,people showing off a beverage.,people showing off a multitude beverage.
1560,neutral,friends are showing off a new drink.,a group of girl showing off an new a beer.,a group of girl exhibit off an newly a beer.
1561,contradiction,friends are showing off a new drink.,enemies shooting each other.,enemies shooting each.
1562,entailment,three friends have fun bicycling.,three friends are outside.,three outside are friends.
1563,contradiction,three friends have fun bicycling.,three friends are being attacked by a bear.,aggress three friends are being attacked by a bear.
1564,contradiction,two people outside examining a bicycle tire.,people are riding a bike while examining the tire.,people riding a bike while examining the tire.
1565,neutral,two people outside examining a bicycle tire.,some people are preparing a bike to go on a bike ride.,some people are preparing a bike to go on ride.
1566,neutral,an innertube is being worked on a bicycle by a male and female.,a guy and girl working on a bicycle to get ready for a race,a guy and girl on a bicycle get ready for a race
1567,contradiction,an innertube is being worked on a bicycle by a male and female.,a man fixes his car,fixes man a his car
1568,entailment,an innertube is being worked on a bicycle by a male and female.,a guy and girl working on a bicycle,a guy and girl working on ridicule a bicycle
1569,contradiction,a man and woman are working on replacing a bike tire tube.,a man and a woman sit in the garage near a bike.,a homo and a woman ride in the garage near a bike.
1570,entailment,a man and woman are working on replacing a bike tire tube.,a man and a woman work on a bike tire.,a man and a work a bike tire.
1571,neutral,a man and woman are working on replacing a bike tire tube.,a man and a woman are working on replacing a bike tire tube in order to sell the bike.,a piece and a woman are working on exchange a bike tire tubing in order to sell the bike.
1572,contradiction,a man and a woman repairing a bicycle tire.,the man and woman are walking their dog.,the serviceman and woman are walking their dog.
