,label,original,hypothesis,modified
2948,neutral,men running across a field and playing soccer.,the men are on a team together,the men are on a team together
2949,contradiction,men running across a field and playing soccer.,the men are sitting on the ground,the men are sitting on the ground
2950,contradiction,a soccer player dribbles a soccer ball while other players run in the background.,nobody is playing soccer.,nobody is playing soccer.
2951,neutral,a family is dining and watching television.,a family is eating dinner while watching a comedy show.,a family is eating dinner while watching a comedy show.
2952,entailment,a family is dining and watching television.,a family is eating dinner.,a family is eating dinner.
2953,contradiction,people are eating food while watching television.,the people are driving home from work.,the people are driving home from work.
2954,neutral,people are eating food while watching television.,the people are indoors.,the people are indoors.
2955,contradiction,four people sit down for dinner in a house.,a group sleeps quietly at a park,a group sleeps quietly at a park
2956,neutral,four people sit down for dinner in a house.,a family is sitting for dinner,a family is sitting for dinner
2957,contradiction,a family is having a meal together at home.,a family is watching tv together.,a family is watching tv together.
2958,entailment,people are eating food while watching television.,the people are having a meal.,the people are having a meal.
2959,entailment,a family gathers for a nice meal in a comfortable home watching tv next to the fireplace.,the people are indoors.,the people are indoors.
2960,neutral,a family is having a meal together at home.,a family is having breakfast together.,a family is having breakfast together.
2961,contradiction,a family gathers for a nice meal in a comfortable home watching tv next to the fireplace.,the group is playing basketball.,the group is playing basketball.
2962,entailment,a family is having a meal together at home.,a family is eating together.,a family is eating together.
2963,neutral,a family gathers for a nice meal in a comfortable home watching tv next to the fireplace.,it is cold outside.,it's cold outside.
2964,entailment,four people sit down for dinner in a house.,four people are sitting,four people are sitting
2965,contradiction,a family is dining and watching television.,a group of strangers are eating at the patio.,a group of strangers are eating at the patio.
2966,contradiction,a woman in a gray sweater talking to another woman in a black jacket.,a baby yawns in his crib.,a baby yawns in his crib.
2967,entailment,a group of people enjoying a small carnival.,a group of people are at a fair.,a group of people are at a fair.
2968,contradiction,a group of people enjoying a small carnival.,the group of people hate carnivals.,the group of people hate carnivals.
2969,neutral,a group of people enjoying a small carnival.,the group of people are friends.,the group of people are friends.
2970,neutral,a few people standing in the road.,a few man chatting in the street.,a few man chatting in the street.
2971,entailment,a few people standing in the road.,some folks stationary outside.,some folks stationary outside.
2972,contradiction,a few people standing in the road.,a few people standing in the front yard.,a few people standing in the front yard.
2973,neutral,people standing near a street fair.,the people are looking at goods.,the people are looking at goods.
2974,contradiction,people standing near a street fair.,the people are running down the stairs inside.,the people are running down the stairs inside.
2975,entailment,people standing near a street fair.,the people are outside by the fair.,the people are outside by the fair.
2976,neutral,a group of people are at an amusement park.,a family is having fun at an amusement park.,a family is having fun at an amusement park.
2977,contradiction,a group of people are at an amusement park.,the amusement park is closed for business and is completely empty.,the amusement park is closed for business and is completely empty.
2978,entailment,a group of people are at an amusement park.,a group of people are at a venue.,a group of people are at a venue.
2979,entailment,a woman in a gray sweater talking to another woman in a black jacket.,a lady wearing gray speaks to a lady in black.,a lady wearing gray speaks to a lady in black.
2980,neutral,a woman in a gray sweater talking to another woman in a black jacket.,a lady wearing gray speaks to a lady in black outside of a church.,a lady wearing gray speaks to a lady in black outside of a church.
2981,contradiction,two people with blue pants and yellow safety vests sit at an open gate on a red and blue wall.,two people sit on a closed gate.,two people sit on a closed gate.
2982,contradiction,two guards sitting and talking to each other.,two guards shooting guns.,two guards shooting guns.
2983,neutral,two workers stand at an entrance.,the workers are janitors.,the workers are janitors.
2984,entailment,two workers stand at an entrance.,the workers have their feet on the ground.,the workers have their feet on the ground.
2985,contradiction,two guards are sitting near an entrance.,two guards are standing at the exit.,two guards are standing at the exit.
2986,entailment,two guards are sitting near an entrance.,two people are watching an entrance.,two people are watching an entrance.
2987,neutral,two guards are sitting near an entrance.,two guards are standing watch.,two guards are standing watch.
2988,neutral,two guards sitting and talking to each other.,two tall guards sitting at a table.,two tall guards sitting at a table.
2989,entailment,two guards sitting and talking to each other.,people sitting and talking.,people sitting and talking.
2990,entailment,two people in yellow vests sit in front of gates.,the two people are sitting down.,the two people are sitting down.
2991,neutral,two people with blue pants and yellow safety vests sit at an open gate on a red and blue wall.,two workers take a break together.,two workers take a break together.
2992,contradiction,two people in yellow vests sit in front of gates.,the two people are standing up.,the two people are standing up.
2993,neutral,two people in yellow vests sit in front of gates.,the two people are guarding the gates.,the two people are guarding the gates.
2994,contradiction,two workers stand at an entrance.,the workers are swimming in the pool.,the workers are swimming in the pool.
2995,entailment,two people with blue pants and yellow safety vests sit at an open gate on a red and blue wall.,two people in matching clothes sit together.,two people in matching clothes sit together.
2996,neutral,men at a gathering together wearing orange berets.,men are wearing uniforms.,men are wearing uniforms.
2997,neutral,men in red caps stand in an audience of some sort amid costumed figures.,the caps are dirty,the caps are dirty
2998,entailment,men in red caps stand in an audience of some sort amid costumed figures.,men are standing,men are standing
2999,entailment,men wearing red hats and blue suits.,men are wearing blue suits.,men are wearing blue suits.
3000,contradiction,"several men are wearing red caps, one stands apart from the others and looks towards the camera.",two men are skydiving,two men are skydiving
3001,entailment,a group of people with red berets and one man in the front with gray hair and glasses.,the man wearing glasses is in front of a group of people in red berets.,the man wearing glasses is in front of a group of people in red berets.
3002,contradiction,a group of people with red berets and one man in the front with gray hair and glasses.,the people are wearing orange berets.,the people are wearing orange berets.
3003,neutral,a group of people with red berets and one man in the front with gray hair and glasses.,a group of people is being led by a gray haired man.,a group of people is being led by a gray haired man.
3004,entailment,"several men are wearing red caps, one stands apart from the others and looks towards the camera.",men are wearign caps,men are wearign caps
3005,neutral,"several men are wearing red caps, one stands apart from the others and looks towards the camera.",men are posing for a picture,men are posing for a picture
3006,contradiction,men wearing red hats and blue suits.,men are naked.,men are naked.
3007,contradiction,men at a gathering together wearing orange berets.,men are dressed entirely in black.,men are dressed entirely in black.
3008,neutral,men wearing red hats and blue suits.,men are wearing flip flops with their suits.,men are wearing flip flops with their suits.
3009,entailment,men at a gathering together wearing orange berets.,men are wearing headwear.,men are wearing headwear.
3010,contradiction,men in red caps stand in an audience of some sort amid costumed figures.,the men are wearing blue caps,the men are wearing blue caps
3011,contradiction,large crowd congregating in a busy street.,the crowd is dispersed,the crowd is dispersed
3012,neutral,a crowded street with a few people wearing white shirts and polka dotted skirts walking in a line.,the crowded people were protested,the crowded people were protested
3013,entailment,a crowded street with a few people wearing white shirts and polka dotted skirts walking in a line.,a crowded street with a few people wearing white shirts and pola dotted skirts walking in a line,a crowded street with a few people wearing white shirts and pola dotted skirts walking in a line
3014,contradiction,a crowded street with a few people wearing white shirts and polka dotted skirts walking in a line.,the cowded people were watching tv,the cowded people were watching tv
3015,neutral,large crowd congregating in a busy street.,the crowd is a mob,the crowd is a mob
3016,neutral,a group of girls in black and white spotted skirts cross a street.,a group of girls are walking to school.,a group of girls are walking to school.
3017,entailment,a group of girls in black and white spotted skirts cross a street.,a group of girls are outside.,a group of girls are outside.
3018,contradiction,a group of girls in black and white spotted skirts cross a street.,a group of girls are sitting on a bench.,a group of girls are sitting on a bench.
3019,entailment,"there are many people outside, including a group of girls all wearing polka dot skirts.",several girls are wearing the same skirt.,several girls are wearing the same skirt.
3020,contradiction,"there are many people outside, including a group of girls all wearing polka dot skirts.",the girls are all wearing pants.,the girls are all wearing pants.
3021,neutral,"there are many people outside, including a group of girls all wearing polka dot skirts.",the girls are going to perform a dance for the people outside.,the girls are going to perform a dance for the people outside.
3022,neutral,a group of japanese women wearing matching outfits walking across a crosswalk while passersby stare.,the outfits are all black.,the outfits are all black.
3023,entailment,a group of japanese women wearing matching outfits walking across a crosswalk while passersby stare.,women are wearing matching outfits.,women are wearing matching outfits.
3024,entailment,large crowd congregating in a busy street.,large crowd congregating,large crowd congregating
3025,neutral,here is a picture of a man waiting for the bus to pick him up and he is hiding his face.,the man doesn't want to be seen.,the man does not want to be seen.
3026,contradiction,a man waiting for the bus.,the woman is checking out a nearby gentleman.,the woman is checking out a nearby gentleman.
3027,contradiction,an old man wearing a gray jacket is looking at a red bus on the street next to a large sign.,the blue double decker bus never runs on time,the blue double decker bus never runs on time
3028,entailment,an old man wearing a gray jacket is looking at a red bus on the street next to a large sign.,the old man is looking at a red bus,the old man is looking at a red bus
3029,contradiction,here is a picture of a man waiting for the bus to pick him up and he is hiding his face.,the man is driving himself somewhere.,the man is driving himself somewhere.
3030,neutral,a man waiting for the bus.,a man is going on vacation.,a man is going on vacation.
3031,neutral,an old man wearing a gray jacket is looking at a red bus on the street next to a large sign.,he is waiting on the bus so he can get to work on time,he's waiting on the bus so he can get to work on time
3032,contradiction,a man in a long coat and dress pants looks up at a sign on a bus as it passes by,a man is travelling in a train.,a man is travelling in a train.
3033,contradiction,a man awaits a double-decker bus.,a man is riding on a bus.,a man is riding on a bus.
3034,neutral,here is a picture of a man waiting for the bus to pick him up and he is hiding his face.,the man is going somewhere.,the man is going somewhere.
3035,neutral,a man awaits a double-decker bus.,a man waiting to go to work.,a man waiting to go to work.
3036,entailment,a man in a long coat and dress pants looks up at a sign on a bus as it passes by,a well dressed man is waiting for his bus ride.,a well dressed man is waiting for his bus ride.
3037,neutral,a man in a long coat and dress pants looks up at a sign on a bus as it passes by,a man is looking at the bus.,a man is looking at the bus.
3038,entailment,a man awaits a double-decker bus.,a man at a bus stop.,a man at a bus stop.
3039,entailment,a man waiting for the bus.,a man is sitting by a bus stop.,a man is sitting by a bus stop.
3040,contradiction,several people look down from above the first floor.,people are swimming.,people are swimming.
3041,contradiction,a peoples wearing all black clothes,the people are all wearing white clothes.,the people are all wearing white clothes.
3042,neutral,a peoples wearing all black clothes,the people are dressed for a funeral.,the people are dressed for a funeral.
3043,entailment,a peoples wearing all black clothes,the people are wearing black.,the people are wearing black.
3044,contradiction,seven people leaning over a rail wearing business attire.,seven people are riding a merry-go-round.,two people are riding a merry-go-round.
3045,neutral,seven people leaning over a rail wearing business attire.,seven people are watching a police chase over a rail.,two people are watching a police chase over a rail.
3046,entailment,seven people leaning over a rail wearing business attire.,business people are leaning over a rail.,business people are leaning over a rail.
3047,entailment,several people look down from above the first floor.,people looking down.,people looking down.
3048,entailment,a group of people look over ledge.,the group of people are near the edge of the ledge.,the group of people are near the edge of the ledge.
3049,entailment,a group of people look over ledge.,the group of people are looking down.,the group of people are looking down.
3050,neutral,a group of people look over ledge.,the group of people are looking up.,the group of people are looking up.
3051,entailment,several people standing in silhouette looking over a balcony.,people looking over a balcony.,people looking over a balcony.
3052,neutral,several people standing in silhouette looking over a balcony.,people at a party looking over a balcony.,people at a party looking over a balcony.
3053,contradiction,several people standing in silhouette looking over a balcony.,people looking over a cliff.,people looking over a cliff.
3054,neutral,several people look down from above the first floor.,people looking down a building outside.,people looking down a building outside.
3055,neutral,three people are sitting and waiting.,three people are sitting and waiting patiently.,four people are sitting and waiting patiently.
3056,contradiction,two women and a man are sitting on metal bollards.,two men eat pizza in a restaruant.,two men eat pizza in a restaruant.
3057,entailment,three individuals sit on short metal posts outside of a building.,three people are outdoors,five people are outdoors
3058,entailment,these people can find a resting place in the most unusual forms.,the people are tire,the people are tire
3059,contradiction,these people can find a resting place in the most unusual forms.,the people are running,the people are running
3060,neutral,three people are sitting and waiting.,two people can't wait any longer.,two people cannot wait any longer.
3061,entailment,three people are sitting and waiting.,three people are waiting for the train.,six people are waiting for the train.
3062,neutral,three individuals sit on short metal posts outside of a building.,the people are dressed casually,the people are dressed casually
3063,entailment,two women and a man are sitting on metal bollards.,two women and a man sit.,two women and a man sit.
3064,entailment,bystanders rest on nearby poles.,bystanders rest on poles.,bystanders rest on poles.
3065,neutral,these people can find a resting place in the most unusual forms.,the people are tourist,the people are tourist
3066,neutral,bystanders rest on nearby poles.,bystanders like poles.,bystanders like poles.
3067,contradiction,bystanders rest on nearby poles.,bystanders rest on benches.,bystanders rest on benches.
3068,neutral,two women and a man are sitting on metal bollards.,two men and a women sit together with their work hats on their laps.,two men and a women sit together with their work hats on their laps.
3069,contradiction,three individuals sit on short metal posts outside of a building.,the people are bungee jumping,the people are bungee jumping
3070,neutral,a crowd of people stand in the background of a set of tables draped in white with various used toys set upon it., a crowd of people stand in the background smiling., a crowd of people stand in the background smiling.
3071,entailment,a group of people looking at merchandise on a table.,the merchandise is for sale.,the merchandise is for sale.
3072,contradiction,"a group of people, men, women and children gathered around a table stacked with merchandise.",people are sticking their hands out at the fire pit.,people are sticking their hands out at the fire pit.
3073,entailment,a crowd of people stand in the background of a set of tables draped in white with various used toys set upon it., a crowd of people stand in the background., a crowd of people stand in the background.
3074,neutral,a group of people looking at merchandise on a table.,the people are conducting a purchase.,the people are conducting a purchase.
3075,contradiction,a group of people looking at merchandise on a table.,the merchandise is stored away in boxes in the storage room.,the merchandise is stored away in boxes in the storage room.
3076,neutral,"a group of people, men, women and children gathered around a table stacked with merchandise.",people are picking out the items they want.,people are picking out the items they want.
3077,neutral,"a group of people, men, women and children gathered around a table stacked with merchandise.",there are products on the furniture.,there are products on the furniture.
3078,contradiction,a crowd of people stand in the background of a set of tables draped in white with various used toys set upon it.,a crowd of people are swimming in a lake.,a crowd of people are swimming in a lake.
3079,contradiction,people crowded around toys on a table.,people are eating.,people are eating.
3080,neutral,people crowded around toys on a table.,people are looking at something.,people are looking at something.
3081,neutral,people crowded around toys on a table.,people are in the middle of the christmas rush.,people are in the middle of the christmas rush.
3082,neutral,a crowd of people are looking at various items for sale on top of a table at an outdoor event.,a crowd of people are going shopping at their local spring festival.,a crowd of people are going shopping at their local spring festival.
3083,contradiction,a crowd of people are looking at various items for sale on top of a table at an outdoor event.,a crowd of people are watching a movie indoors.,a crowd of people are watching a movie indoors.
3084,entailment,a crowd of people are looking at various items for sale on top of a table at an outdoor event.,a group of people are outside.,a group of people are outside.
3085,entailment,a man strolling down the sidewalk wearing a red shirt and jeans.,a man in a red shirt is walking down the sidewalk.,a man in a red shirt is walking down the sidewalk.
3086,contradiction,a man strolling down the sidewalk wearing a red shirt and jeans.,the man in the red shirt is running as fast as he can.,the man in the red shirt is running as fast as he can.
3087,entailment,a black man with a red shirt on is walking.,dark skinned man moving,dark skinned man moving
3088,contradiction,a black man with a red shirt on is walking.,the man is lifiting,the man is lifiting
3089,entailment,a black man with a red shirt on is walking.,man is roaming,man is roaming
3090,contradiction,a young black man walks down a street with a stray dog on it.,a woman walks down the street,a woman walks down the street
3091,neutral,a young black man walks down a street with a stray dog on it.,a smart man walks down the sreet,a smart man walks down the sreet
3092,entailment,a guy with a red shirt walking.,the guy is out for his walk,the guy is out for his walk
3093,contradiction,a guy with a red shirt walking.,a guy is wearing a pink shirt,a guy is wearing a pink shirt
3094,neutral,a guy with a red shirt walking.,a guy enjoys walking,a guy enjoys walking
3095,neutral,an african american man walking down the street.,the man is enjoying the fresh air.,the man is enjoying the fresh air.
3096,contradiction,an african american man walking down the street.,the man is swimming in a pool.,the man is swimming in a pool.
3097,entailment,an african american man walking down the street.,the man is outside.,the man is outside.
3098,entailment,a young black man walks down a street with a stray dog on it.,a man walks down the street,a man walks down the street
3099,neutral,a man strolling down the sidewalk wearing a red shirt and jeans.,the man is an undercover police officer.,the man is an undercover police officer.
3100,contradiction,people are judging sheep at a state fair.,wild animal are chasing the deer.,wild animal are chasing the deer.
3101,neutral,five men all of whom are wearing white coats are standing next to lambs in an enclosed area,five black men stand next to lambs.,seven black men stand next to lambs.
3102,contradiction,five men all of whom are wearing white coats are standing next to lambs in an enclosed area,five men are asleep after filling up at a five guys restaurant.,five men are asleep after filling up at a eight guys restaurant.
3103,entailment,five men all of whom are wearing white coats are standing next to lambs in an enclosed area,five men stand next to lambs.,two men stand next to lambs.
3104,neutral,5 people in white lab coats are standing over 5 sheep,five scientists are studying five cloned sheep.,seven scientists are studying five cloned sheep.
3105,contradiction,5 people in white lab coats are standing over 5 sheep,two boys are tossing a frisbee back and forth.,two boys are tossing a frisbee back and forth.
3106,entailment,5 people in white lab coats are standing over 5 sheep,five people are standing with five animals.,eight people are standing with five animals.
3107,entailment,two men wearing white coats and standing next to sheet talk to each other while a woman wearing a wicker hat and a white coat stands with sheep looks at a woman in a white coat and a man wearing a white coat and white hat both standing next to sheep.,5 people are near some sheep.,1 people are near some sheep.
3108,neutral,two men wearing white coats and standing next to sheet talk to each other while a woman wearing a wicker hat and a white coat stands with sheep looks at a woman in a white coat and a man wearing a white coat and white hat both standing next to sheep.,5 people want to do experiments on the sheep.,4 people want to do experiments on the sheep.
3109,contradiction,two men wearing white coats and standing next to sheet talk to each other while a woman wearing a wicker hat and a white coat stands with sheep looks at a woman in a white coat and a man wearing a white coat and white hat both standing next to sheep.,5 people are in a bar drinking,10 people are in a bar drinking
3110,contradiction,a group of people in white coats holding sheep.,people are swimming in the ocean.,people are swimming in the ocean.
3111,entailment,a group of people in white coats holding sheep.,a bunch of people are holding sheep.,a bunch of people are holding sheep.
3112,neutral,a group of people in white coats holding sheep.,people are holding sheep and the sheep run away.,people are holding sheep and the sheep run away.
3113,entailment,people are judging sheep at a state fair.,sheeps are checked by man.,sheeps are checked by man.
3114,neutral,people are judging sheep at a state fair.,lamb checked for its health condition.,lamb checked for its health condition.
3115,neutral,a woman alone in the rain with a blue umbrella.,the woman is going to meet someone.,the woman is going to meet someone.
3116,entailment,lady wearing white shirt with blue umbrella in the rain.,the woman is in the rain.,the woman is in the rain.
3117,entailment,a lady with a black bag is walking in the rain with her blue umbrella.,a lady with a large black bag is walking in the rain.,a lady with a large black bag is walking in the rain.
3118,neutral,a lady with a black bag is walking in the rain with her blue umbrella.,a lady with a large black bag is walking in the rain near the park.,a lady with a large black bag is walking in the rain near the park.
3119,entailment,a woman in white is holding a blue umbrella and walking in the rain.,there is a woman outdoors.,there's a woman outdoors.
3120,neutral,a woman in white is holding a blue umbrella and walking in the rain.,the woman is afraid of getting wet.,the woman is afraid of getting wet.
3121,contradiction,a woman in white is holding a blue umbrella and walking in the rain.,a woman is sunbathing outdoors.,a woman is sunbathing outdoors.
3122,contradiction,a lady with a black bag is walking in the rain with her blue umbrella.,a man with a large black bag is walking in the rain near the park.,a man with a large black bag is walking in the rain near the park.
3123,contradiction,lady wearing white shirt with blue umbrella in the rain.,a huge building reflecting the hot summer sun.,a huge building reflecting the hot summer sun.
3124,neutral,lady wearing white shirt with blue umbrella in the rain.,a lady with her lucky umbrella on a rainy day.,a lady with her lucky umbrella on a rainy day.
3125,entailment,a woman in a white dress is holding a blue umbrella in the rain.,a woman is outside under a blue umbrella.,a woman is outside under a blue umbrella.
3126,contradiction,a woman in a white dress is holding a blue umbrella in the rain.,the woman is in a taxi cab.,the woman is in a taxi cab.
3127,neutral,a woman in a white dress is holding a blue umbrella in the rain.,it is raining on this woman's wedding day.,it's raining on this woman's wedding day.
3128,entailment,a woman alone in the rain with a blue umbrella.,a woman is alone in the rain.,a woman is alone in the rain.
3129,contradiction,a woman alone in the rain with a blue umbrella.,a woman is walking in the sunshine.,a woman is walking in the sunshine.
3130,neutral,a male with a hat a is sweeping the road.,an old man is outside of his home.,an old man is outside of his home.
3131,contradiction,a man mops a mess outside of his storefront.,a man is having lunch .,a man is having lunch .
3132,contradiction,a man sweeps the road in front of a wall with graffiti and two flats set against it.,a witch flies on a broom in the sky.,a witch flies on a broom in the sky.
3133,contradiction,graffiti on the side of an asian warehouse.,a neon sign on a new building.,a neon sign on a new building.
3134,entailment,a man mops a mess outside of his storefront.,a man is cleaning something.,a man is cleaning something.
3135,neutral,a man mops a mess outside of his storefront.,a shop worker is cleaning a mess left by children.,a shop worker is cleaning a mess left by children.
3136,neutral,"an urban, outdoor, daytime setting shows a building with blue walls and prominent graffiti; with two pallets leaning against the building and a sign overhead that says ""tay shing corp. 1 allen st."".","a set of pallets is stacked against a building, blocking the fire exit and posing a risk","a set of pallets is stacked against a building, blocking the fire exit and posing a risk"
3137,neutral,graffiti on the side of an asian warehouse.,letters on a building.,letters on a building.
3138,contradiction,a male with a hat a is sweeping the road.,a man is sitting on a porch.,a man is sitting on a porch.
3139,entailment,a male with a hat a is sweeping the road.,a male is cleaning outside.,a male is cleaning outside.
3140,entailment,"an urban, outdoor, daytime setting shows a building with blue walls and prominent graffiti; with two pallets leaning against the building and a sign overhead that says ""tay shing corp. 1 allen st."".",a set of pallets is stacked against a building,a set of pallets is stacked against a building
3141,neutral,a man sweeps the road in front of a wall with graffiti and two flats set against it.,the man will use the broom the sweep behind the flats.,the man will use the broom the sweep behind the flats.
3142,entailment,a man sweeps the road in front of a wall with graffiti and two flats set against it.,a guy uses a broom to sweep infront of a wall.,a guy uses a broom to sweep infront of a wall.
3143,contradiction,"an urban, outdoor, daytime setting shows a building with blue walls and prominent graffiti; with two pallets leaning against the building and a sign overhead that says ""tay shing corp. 1 allen st."".",a set of pallets are being runover by a truck who's brakes failed,a set of pallets are being runover by a truck who is brakes failed
3144,neutral,graffiti on the side of an asian warehouse.,a graffiti artist made an urban tag sign for a local warehouse.,a graffiti artist made an urban tag sign for a local warehouse.
3145,contradiction,"two babies are sitting on the floor next to the table, and one baby is crying.",two babies are being pushed in their strollers.,two babies are being pushed in their strollers.
3146,contradiction,the baby in the yellow shirt cries while reaching out to another baby.,the baby is getting a checkup at the doctor's office.,the baby is getting a checkup at the doctor's office.
3147,entailment,the baby in the yellow shirt cries while reaching out to another baby.,a child is upset.,a child is upset.
3148,neutral,the baby in the yellow shirt cries while reaching out to another baby.,the baby wants attention from someone.,the baby wants attention from someone.
3149,entailment,"two asian toddlers, one crying, playing with a pacifier.",the toddler has a pacifier,the toddler has a pacifier
3150,contradiction,"two asian toddlers, one crying, playing with a pacifier.",the woman is trying on dresses,the woman is trying on dresses
3151,neutral,"two asian toddlers, one crying, playing with a pacifier.",the children are tired,the children are tired
3152,entailment,a baby cries while another baby holds an object.,there are two babies.,there are two babies.
3153,contradiction,a baby cries while another baby holds an object.,there is only one baby.,there is only two baby.
3154,neutral,a baby cries while another baby holds an object.,the crying baby is hungry.,the crying baby is hungry.
3155,contradiction,one toddler takes away the mouth piece of the other which makes him cry.,babies climb in the trees.,babies climb in the trees.
3156,entailment,one toddler takes away the mouth piece of the other which makes him cry.,a toddler plays with another baby.,a toddler plays with another baby.
3157,neutral,one toddler takes away the mouth piece of the other which makes him cry.,the toddler took the other's binkie.,the toddler took the other's binkie.
3158,neutral,one toddler takes away the mouth piece of the other which makes him cry.,toddler takes mouth piece of toddler and makes him cry because he is a bully.,toddler takes mouth piece of toddler and makes him cry because he's a bully.
3159,entailment,one toddler takes away the mouth piece of the other which makes him cry.,toddler takes mouth piece of toddler and makes him cry.,toddler takes mouth piece of toddler and makes him cry.
3160,contradiction,one toddler takes away the mouth piece of the other which makes him cry.,a baby is sitting quietly by himself.,a baby is sitting quietly by himself.
3161,entailment,one toddler takes away the mouth piece of the other which makes him cry.,a baby steals another baby's pacifier.,a baby steals another baby's pacifier.
3162,contradiction,one toddler takes away the mouth piece of the other which makes him cry.,the toddler gave their friend a red cape.,the toddler gave their friend a red cape.
3163,neutral,one toddler takes away the mouth piece of the other which makes him cry.,a toddler has another kids mouth piece.,a toddler has another kids mouth piece.
3164,entailment,one toddler takes away the mouth piece of the other which makes him cry.,a young child took something from another young child.,a young child took something from another young child.
3165,neutral,one toddler takes away the mouth piece of the other which makes him cry.,a baby is taking back his pacifier from the toddler that stole it.,a baby is taking back his pacifier from the toddler that stole it.
3166,neutral,one toddler takes away the mouth piece of the other which makes him cry.,a toddler plays with his sister.,a toddler plays with his sister.
3167,contradiction,one toddler takes away the mouth piece of the other which makes him cry.,a toddler is sleeping.,a toddler is sleeping.
3168,contradiction,one toddler takes away the mouth piece of the other which makes him cry.,man takes mouth piece of toddler and makes him cry.,man takes mouth piece of toddler and makes him cry.
3169,entailment,one toddler takes away the mouth piece of the other which makes him cry.,a child annoys another child.,a child annoys another child.
3170,neutral,"two babies are sitting on the floor next to the table, and one baby is crying.",two babies are sitting on the floor playing with one toy.,two babies are sitting on the floor playing with two toy.
3171,entailment,"two babies are sitting on the floor next to the table, and one baby is crying.",two babies are sitting on the floor.,two babies are sitting on the floor.
3172,neutral,a man drinks a purple liquid on a crowded street.,a man downs a bottle of purple gatorade in the middle of a crowd of marathon watchers.,a man downs a bottle of purple gatorade in the middle of a crowd of marathon watchers.
3173,neutral,two women look at a cameraman while walking through a crowd.,a cameraman is filming a girl's gone wild video.,a cameraman is filming a girl's gone wild video.
3174,neutral,many people walk along a crowded street.,a lot of people are walking in a parade.,a lot of people are walking in a parade.
3175,contradiction,many people walk along a crowded street.,a lot of people are sitting in a restaurant.,a lot of people are sitting in a restaurant.
3176,entailment,many people walk along a crowded street.,a lot of people are outside.,a lot of people are outside.
3177,contradiction,a man drinks a purple liquid on a crowded street.,"a boy sells lemonade on a street corner, but there aren't many passersby.","a boy sells lemonade on a street corner, but there are not many passersby."
3178,entailment,people walking around the city streets.,people walking in the city.,people walking in the city.
3179,contradiction,people walking around the city streets.,people are in the movie theatre.,people are in the movie theatre.
3180,entailment,people walking around the city streets.,people are outside.,people are outside.
3181,contradiction,"in the foreground, a man in a striped shirt drinks something from a bottle while behind him stand two women with dark hair and black shirts in front of a crowd in an urban setting.",a man and two women are alone in a room.,a man and two women are alone in a room.
3182,neutral,"in the foreground, a man in a striped shirt drinks something from a bottle while behind him stand two women with dark hair and black shirts in front of a crowd in an urban setting.","a man and two women are in a band, playing music.","a man and two women are in a band, playing music."
3183,entailment,"in the foreground, a man in a striped shirt drinks something from a bottle while behind him stand two women with dark hair and black shirts in front of a crowd in an urban setting.",a man and two women are in front of a crowd.,a man and two women are in front of a crowd.
3184,contradiction,two women look at a cameraman while walking through a crowd.,two women are sitting and eating lunch.,two women are sitting and eating lunch.
3185,entailment,a man drinks a purple liquid on a crowded street.,a man in a crowd drinks something purple.,a man in a crowd drinks something purple.
3186,entailment,two women look at a cameraman while walking through a crowd.,a cameraman is filming two women walking through a crowd.,a cameraman is filming two women walking through a crowd.
3187,neutral,"a young boy standing in a crowd with a n.y. cap on his head, black and white striped shirt, and gray sweat jacket.",there is a boy that lives in nyc.,there's a boy that lives in nyc.
3188,neutral,a young boy looks at the camera while wearing a new york hat and a black and white striped shirt.,the camera is fancy.,the camera is fancy.
3189,contradiction,a young boy looks at the camera while wearing a new york hat and a black and white striped shirt.,the boy is looking at the ground.,the boy is looking at the ground.
3190,entailment,a young boy looks at the camera while wearing a new york hat and a black and white striped shirt.,there is a boy.,there's a boy.
3191,entailment,a little boy wears a yankees cap.,a child wears a yankees cap.,a child wears a yankees cap.
3192,entailment,a boy wearing a new york yankees hat.,a male has a hat on.,a male has a hat on.
3193,neutral,a boy wearing a new york yankees hat.,the son of a new york yankees ball player wears his father's team hat.,the son of a new york yankees ball player wears his father's team hat.
3194,contradiction,a boy wearing a new york yankees hat.,a girl has a football jersey on.,a girl has a football jersey on.
3195,neutral,boy in camouflage yankee's hat staring.,a boy wearing a yankee's hat looks for his friends.,a boy wearing a yankee's hat looks for his friends.
3196,entailment,boy in camouflage yankee's hat staring.,a boy stares into the distance.,a boy stares into the distance.
3197,contradiction,boy in camouflage yankee's hat staring.,a boy in a camouflage yankee's hat cheers his team.,a boy in a camouflage yankee's hat cheers his team.
3198,contradiction,a little boy wears a yankees cap.,some play the game.,some play the game.
3199,neutral,a little boy wears a yankees cap.,some body wears a cap.,some body wears a cap.
3200,contradiction,"a young boy standing in a crowd with a n.y. cap on his head, black and white striped shirt, and gray sweat jacket.",there is a boy with spiked hair.,there's a boy with spiked hair.
3201,entailment,"a young boy standing in a crowd with a n.y. cap on his head, black and white striped shirt, and gray sweat jacket.",a boy has a new york hat on.,a boy has a new york hat on.
3202,entailment,a collie plays with a white ball in a field of green grass.,the ball is white,the ball is white
3203,entailment,a brown and white dog chasing a ball on some grass.,a dog chases a ball that was thrown,a dog chases a ball that was thrown
3204,entailment,a brown and white dog chasing a ball on some grass.,a dog is playing with a ball,a dog is playing with a ball
3205,entailment,a small brown dog paws at a white ball,a dog batting a white ball.,a dog batting a white ball.
