,Unnamed: 0,label,original,hypothesis,modified
971,971,neutral,"there is a baseball player standing at home plate, the catcher behind him has his hand up in the air with his glove, and the umpire is standing behind him, and many people in the stands.",the final game of the championship is being played while many fans are in the stands.,the final home game of the championship is being played while many fans are in the stands.
972,972,neutral,"a baseball player holds his bat, while the catcher and umpire squat behind him and a crowd watches.",the pirates are playing the mets.,the pirates are playing the three mets.
973,973,contradiction,"a baseball player holds his bat, while the catcher and umpire squat behind him and a crowd watches.",the crowd is watching a track meet.,the crowd is watching a single track race meet.
974,974,entailment,"a baseball player holds his bat, while the catcher and umpire squat behind him and a crowd watches.",the crowd watches a baseball game,the crowd watches a baseball football game
975,975,entailment,a baseball player is holding a bat.,the person has a piece of athletic equipment.,the first person has a certain piece of athletic training equipment.
976,976,neutral,a man in a red and white uniform holding a bat.,a man is up next to bat.,a coloured man is up next to bat.
977,977,contradiction,a man in a red and white uniform holding a bat.,someone wearing green and yellow holds a crickett bat.,indicates someone wearing green and yellow holds a blue crickett like bat.
978,978,entailment,a man in a red and white uniform holding a bat.,one man with a bat wearing red and white.,one Chinese man with a black bat wearing red and white.
979,979,contradiction,a baseball player getting ready to bat.,the basketball player is going to throw the ball.,the basketball team player is going to throw the ball.
980,980,entailment,a baseball player getting ready to bat.,the player is ready to hit.,the first player is ready to hit.
981,981,neutral,a baseball player getting ready to bat.,the baseball player is batting with a blue bat.,the baseball one player is batting with a blue bat.
982,982,entailment,"there is a baseball player standing at home plate, the catcher behind him has his hand up in the air with his glove, and the umpire is standing behind him, and many people in the stands.",a baseball game is being played.,a baseball ball game is being played.
983,983,contradiction,"there is a baseball player standing at home plate, the catcher behind him has his hand up in the air with his glove, and the umpire is standing behind him, and many people in the stands.",fans fill the seats as they watch their favorite soccer teams battle it out on the pitch.,The fans fill the seats as they watch their favorite soccer fan teams battle it out on the stadium pitch.
984,984,neutral,a baseball player is holding a bat.,the man will hit a ball.,the second man will hit a ball.
985,985,entailment,a man demonstrates how to ride a bicycle with only the back wheel on the ground.,a man is doing a wheelie on a bike.,a white man is doing a wheelie on a bike.
986,986,entailment,man in a red shirt riding a trick bicycle on only the rear wheel.,a man popping a wheelie on his bike,a young man popping a wheelie on his home bike
987,987,contradiction,man in a red shirt riding a trick bicycle on only the rear wheel.,a woman riding in her car,a white woman riding in her car
988,988,neutral,man in a red shirt riding a trick bicycle on only the rear wheel.,a stunt rider pulling a trick in x games,a stunted rider pulling a car trick in 4 x video games
989,989,contradiction,a man performing a trick on a bicycle by standing on the pedals while the bike is upright.,a man walks slowly down the street,a white man walks slowly down the street
990,990,entailment,a man performing a trick on a bicycle by standing on the pedals while the bike is upright.,a man shows his ability to balance a bicycle on one wheel,a young man shows his ability to balance a bicycle on one steering wheel
991,991,neutral,a man in a red outfit balances on a bike.,a man gets his bike ready for a competition.,a young man gets his old bike ready for a competition.
992,992,entailment,a man in a red outfit balances on a bike.,a man with a bike.,a young man with a bike.
993,993,contradiction,a man wearing red and black is balancing himself on the back wheels of a bicycle that is pointing up.,a naked man is standing on a set of stairs.,a naked looking man is standing on a set of stairs.
994,994,neutral,a man wearing red and black is balancing himself on the back wheels of a bicycle that is pointing up.,a man dressed in a black shirt and red pants is standing on the back wheels of a bicycle headed to the beach.,a white man dressed in a black white shirt and red white pants is standing on the back wheels of a bicycle headed to the beach.
995,995,entailment,a man wearing red and black is balancing himself on the back wheels of a bicycle that is pointing up.,the back wheels are being used to balance someone.,the back three wheels are being used to balance towards someone.
996,996,neutral,a man performing a trick on a bicycle by standing on the pedals while the bike is upright.,a man performs a trick on a bicycle in front of an appreciative crowd,a young man performs a trick on a bicycle in front of an appreciative crowd
997,997,contradiction,a man in a red outfit balances on a bike.,a woman throwing her bike away.,a woman throwing her black bike away.
998,998,neutral,a man demonstrates how to ride a bicycle with only the back wheel on the ground.,a man is doing a wheelie on a red bike.,a white man is doing a wheelie on a red bike.
999,999,contradiction,a man demonstrates how to ride a bicycle with only the back wheel on the ground.,a man is riding a golf cart down the street.,a young man is riding a golf cart down the street.
1000,1000,neutral,a person sits in a yellow kayak on the water with their little dog.,the dog is scared.,the dog is scared.
1001,1001,neutral,a man with a black dog sitting in a yellow kayak on that is floating on calm water.,the dog is his only pet,the dog is his only pet
1002,1002,entailment,a man with a black dog sitting in a yellow kayak on that is floating on calm water.,the man has a dog,the third man has a dog
1003,1003,contradiction,a man with a black dog sitting in a yellow kayak on that is floating on calm water.,the man is sitting on a bus,the right man is sitting on a bus
1004,1004,entailment,a woman kayaking with her small dog,a person kayaking with an animal.,a young person kayaking with an elephant animal.
1005,1005,neutral,a woman kayaking with her small dog,a young woman kayaking in the ocean.,a young woman kayaking in the dark ocean.
1006,1006,entailment,a woman is kayaking in a yellow kayak with her dog.,the kayak is on water.,the second kayak is on river water.
1007,1007,contradiction,a woman is kayaking in a yellow kayak with her dog.,a woman enjoys the scenic views from her hot air ballon with her dog.,a woman enjoys the scenic mountain views from her hot ground air chicken ballon with her dog.
1008,1008,contradiction,a woman kayaking with her small dog,a woman laying on the beach.,a woman laying on the black beach.
1009,1009,neutral,a woman is kayaking in a yellow kayak with her dog.,a woman and her dog are about to fall overboard.,a woman and her dog are about to fall overboard.
1010,1010,contradiction,a woman in a kayak with dog rests her paddle over her head.,the dog is peddling a kayak,the dog is peddling a wood kayak
1011,1011,neutral,a woman in a kayak with dog rests her paddle over her head.,a woman is in a river with her kayak while her husband watches,a woman is in a small river with her mother kayak while her husband watches
1012,1012,entailment,a woman in a kayak with dog rests her paddle over her head.,a woman is in a river with her kayak,a woman is in a deep river with her Indian kayak
1013,1013,entailment,a person sits in a yellow kayak on the water with their little dog.,the kayak is floating.,the second kayak is floating.
1014,1014,contradiction,a person sits in a yellow kayak on the water with their little dog.,the kayak is empty.,the first kayak is empty.
1015,1015,entailment,a man in a red shirt is laying on the grass reaching out to another person.,a man in red is holding out his hand.,a black man in red is holding out his hand.
1016,1016,contradiction,a man on the ground stretches his hands out to another person.,a man is laying in the grass,a black man is laying in the black grass
1017,1017,entailment,a man on the ground stretches his hands out to another person.,a man wants to hold another,a black man wants to hold another
1018,1018,entailment,a man is lying in the grass with his arms outstretched.,man lies in grass,man lies in black grass
1019,1019,neutral,a man on the ground stretches his hands out to another person.,a man is about to hold his wife,a young man is about to hold his wife
1020,1020,entailment,a man reaching for someone on the grass.,a man is on the grass,a black man is on the green grass
1021,1021,contradiction,"a man, lying on the grass, hand outstretched to another arm.","man lying on a sidewalk, staring at the sky.","Another man lying on a sidewalk, staring at the sky."
1022,1022,neutral,"a man, lying on the grass, hand outstretched to another arm.",man lying in bright green grass on a sunny day.,man lying in bright green coloured grass on a sunny day.
1023,1023,entailment,"a man, lying on the grass, hand outstretched to another arm.","man lying on grass, with his hand reaching toward someone else's","man lying on grass, with his right hand reaching toward someone else's"
1024,1024,contradiction,a man reaching for someone on the grass.,a man is sleeping,a black man is sleeping
1025,1025,neutral,a man reaching for someone on the grass.,a man is reaching,a standing man is reaching
1026,1026,neutral,a man in a red shirt is laying on the grass reaching out to another person.,the man is reaching for his wife.,the middle man is reaching for his wife.
1027,1027,neutral,a man is lying in the grass with his arms outstretched.,man just ran 3 miles,man just ran 3 miles
1028,1028,contradiction,a man in a red shirt is laying on the grass reaching out to another person.,the man is sunbathing and doesn't have on anything but his swim trunks.,the black man is sunbathing and doesn't have on anything but his swim trunks.
1029,1029,contradiction,a man is lying in the grass with his arms outstretched.,cat sleeps on tv,cat sleeps on tv
1030,1030,neutral,a naked cyclist in body paint rides at a fair.,a cyclist plays a prank and is naked.,a cyclist plays a prank and is naked.
1031,1031,neutral,a naked woman wearing body paint riding a bicycle.,the woman is posing for a magazine,the white woman is posing for a magazine
1032,1032,entailment,a naked woman wearing body paint riding a bicycle.,there is a woman in the picture,there is a white woman in the picture
1033,1033,neutral,a young naked lady in body paint rides a bike through a street festival.,it is a holiday.,it is a holiday.
1034,1034,contradiction,a naked woman wearing body paint riding a bicycle.,the man is sleeping in his bed,the right man is sleeping in his bed
1035,1035,entailment,a painted woman rides a bike in public.,the woman is outside.,the middle woman is outside.
1036,1036,contradiction,a naked cyclist in body paint rides at a fair.,the cyclist is asleep in bed.,the cyclist is asleep in bed.
1037,1037,contradiction,a young naked lady in body paint rides a bike through a street festival.,"the woman is so cold, she has to wear a sweater.","the old woman is so cold, she has to wear a sweater."
1038,1038,neutral,a naked girl covered in painted flower designs riding a bicycle.,a girl riding a bicycle to go home.,a black girl riding a bicycle to go home.
1039,1039,contradiction,a painted woman rides a bike in public.,the woman is riding a scooter.,the white woman is riding a scooter.
1040,1040,contradiction,a naked girl covered in painted flower designs riding a bicycle.,a naked guy walking around.,a naked white guy walking around.
1041,1041,entailment,a naked cyclist in body paint rides at a fair.,a cyclist has no clothes on.,a cyclist has no black clothes on.
1042,1042,neutral,a painted woman rides a bike in public.,the woman is enjoying the day riding.,the white woman is enjoying the day riding.
1043,1043,entailment,a naked girl covered in painted flower designs riding a bicycle.,a naked girl painted with flowers riding a bike.,a naked white girl painted with flowers riding a bike.
1044,1044,entailment,a young naked lady in body paint rides a bike through a street festival.,the woman is wearing no clothes.,the white woman is wearing no clothes.
1045,1045,entailment,"four people, one male in a blue shirt and slacks with three females, one in pink, one in blue, and the other with a white shirt and blue blouse, in line to enter a yellow school bus, while a female in pink hold paper is on the phone.",there are three girls and one boy waiting for the school bus.,there are three girl girls and one small boy waiting for the school train bus.
1046,1046,contradiction,a line of people are leaving the sidewalk and entering a yellow school bus.,people are entering a boat.,The people are entering a boat.
1047,1047,neutral,a line of people are leaving the sidewalk and entering a yellow school bus.,people are entering a school bus to go to school.,people are entering a school like bus to go to school.
1048,1048,entailment,3 women and a man waiting in line to board a yellow bus.,there is a line to get on the bus.,there is a special line to get on the local bus.
1049,1049,neutral,3 women and a man waiting in line to board a yellow bus.,the women all have purses.,the three women all have purses.
1050,1050,contradiction,3 women and a man waiting in line to board a yellow bus.,the line is 7 people long.,the first line is 7 billion people long.
1051,1051,neutral,4 young adults are lined up to get onto a school bus.,4 people are excited to get on the bus for the last day of school.,4 people are excited to get on the class bus for the last day of school.
1052,1052,entailment,4 young adults are lined up to get onto a school bus.,4 people are in line for a school bus.,4 thousand people are in red line for a school train bus.
1053,1053,contradiction,4 young adults are lined up to get onto a school bus.,4 people sit in desks taking tests at school.,4 hundred people sit in desks taking tests at school.
1054,1054,entailment,people are getting ready to get on the bus,people are getting ready to board the bus.,The people are getting ready to board the first bus.
1055,1055,neutral,people are getting ready to get on the bus,the people are going home from work.,the white people are going home from working work.
1056,1056,contradiction,people are getting ready to get on the bus,the people are boarding a plane.,the three people are boarding a plane.
1057,1057,neutral,"four people, one male in a blue shirt and slacks with three females, one in pink, one in blue, and the other with a white shirt and blue blouse, in line to enter a yellow school bus, while a female in pink hold paper is on the phone.",the people waiting in line are in middle school.,the three people waiting in front line are in middle school.
1058,1058,contradiction,"four people, one male in a blue shirt and slacks with three females, one in pink, one in blue, and the other with a white shirt and blue blouse, in line to enter a yellow school bus, while a female in pink hold paper is on the phone.","four people, one male in a blue shirt and slacks with three females, one in pink, one in blue, and the other with a blue shirt and blue blouse, in line to enter a yellow school bus, while a female in pink hold paper is on the phone.","four people, one male in a blue white shirt and slacks with three females, one in pink, one in blue, and the other with a blue shirt and blue blouse, in line to enter a yellow school bus, while a female in pink hold paper is on the phone."
1059,1059,entailment,a line of people are leaving the sidewalk and entering a yellow school bus.,people are entering a school bus.,Some people are entering a school train bus.
1060,1060,neutral,"a young blond girl in a pink ski suit and hat is crying, and being comforted by her mother who is holding her.",a small child's grandmother has just died.,a small child's grandmother has just died.
1061,1061,contradiction,a little girl in pink is crying while being held by a woman in a white coat.,the girl is laughing.,the little girl is laughing.
1062,1062,neutral,a little girl in pink is crying while being held by a woman in a white coat.,the girl is the woman's daughter.,the black girl is the woman's daughter.
1063,1063,entailment,"a young blond girl in a pink ski suit and hat is crying, and being comforted by her mother who is holding her.",two females are sharing a moment.,two large females are sharing a shared moment.
1064,1064,contradiction,a woman is holding a crying child dressed in pink.,a man is holding a crying child.,a standing man is holding a crying child.
1065,1065,entailment,a little girl in pink is crying while being held by a woman in a white coat.,the girl is crying.,the little girl is crying.
1066,1066,neutral,blond child in knit hat and pink coat cries in a woman arms.,a blond child is crying in the arms of her mother.,a blond child is crying in the love arms of her loving mother.
1067,1067,contradiction,blond child in knit hat and pink coat cries in a woman arms.,a blond child is crying in the arms of her father.,a blond child is crying in the love arms of her father.
1068,1068,neutral,a woman is holding a crying child dressed in pink.,a woman is holding an unhappy child.,a white woman is holding an unhappy child.
1069,1069,entailment,a woman is holding a crying child dressed in pink.,a woman is holding a crying child.,a white woman is holding a crying child.
1070,1070,entailment,blond child in knit hat and pink coat cries in a woman arms.,a blond child is crying.,a blond child is crying.
1071,1071,neutral,a woman holding a blond headed child that is crying.,a child is crying because he wants candy.,a child is crying because he wants candy.
1072,1072,contradiction,a woman holding a blond headed child that is crying.,a group of people are working on a movie set.,a large group of young people are working on a movie theater set.
1073,1073,entailment,a woman holding a blond headed child that is crying.,a woman is holding a child that is crying.,a white woman is holding a child that is crying.
1074,1074,contradiction,"a young blond girl in a pink ski suit and hat is crying, and being comforted by her mother who is holding her.",two guys are playing baseball.,two black guys are playing baseball.
1075,1075,neutral,young children like to pet the deer.,children pet a deer named bambi.,Some children pet a deer named bambi.
1076,1076,contradiction,a little brunette girl squats down to pet a deer laying in sand.,the girl is running from a deer.,the white girl is running from a deer.
1077,1077,contradiction,a young child wearing an overall dress with a floral patterned skirt and a white t-shirt pets a baby deer with a backpack on her back.,a small girl is watching someone else feed a deer.,a small white girl is watching like someone else feed a deer.
1078,1078,entailment,a young child wearing an overall dress with a floral patterned skirt and a white t-shirt pets a baby deer with a backpack on her back.,a kid wearing a dress plays with a small dear,a small kid wearing a black dress plays with a small child dear
1079,1079,entailment,a young child wearing an overall dress with a floral patterned skirt and a white t-shirt pets a baby deer with a backpack on her back.,"a young child is outside, petting a deer.","a young white child is outside, petting a deer."
1080,1080,neutral,a young child wearing an overall dress with a floral patterned skirt and a white t-shirt pets a baby deer with a backpack on her back.,a wild fawn is being pet by a girl in a skirt.,a wild white fawn is being pet by a young girl in a white skirt.
1081,1081,entailment,a young child wearing an overall dress with a floral patterned skirt and a white t-shirt pets a baby deer with a backpack on her back.,a small girl enjoys animals.,a small white girl enjoys eating animals.
1082,1082,entailment,a young child wearing an overall dress with a floral patterned skirt and a white t-shirt pets a baby deer with a backpack on her back.,a kid is petting a baby deer.,a white kid is petting a white baby deer.
1083,1083,contradiction,a young child wearing an overall dress with a floral patterned skirt and a white t-shirt pets a baby deer with a backpack on her back.,a man is milking a cow.,a white man is milking a cow.
1084,1084,neutral,a young child wearing an overall dress with a floral patterned skirt and a white t-shirt pets a baby deer with a backpack on her back.,a girl plays with her pet,a young girl plays with her pet
1085,1085,contradiction,a young child wearing an overall dress with a floral patterned skirt and a white t-shirt pets a baby deer with a backpack on her back.,a girl gets bitten by a dog,a black girl gets bitten by a white dog
1086,1086,neutral,a young child wearing an overall dress with a floral patterned skirt and a white t-shirt pets a baby deer with a backpack on her back.,a small girl is at a petting zoo.,a small white girl is at a petting zoo.
1087,1087,neutral,a young child wearing an overall dress with a floral patterned skirt and a white t-shirt pets a baby deer with a backpack on her back.,"a young child is outside, petting her friend's deer on a farm.","a young black child is outside, petting her friend's deer on a small farm."
1088,1088,contradiction,a young child wearing an overall dress with a floral patterned skirt and a white t-shirt pets a baby deer with a backpack on her back.,the little girl is at the aquarium.,the little white girl is at the aquarium.
1089,1089,entailment,a young child wearing an overall dress with a floral patterned skirt and a white t-shirt pets a baby deer with a backpack on her back.,the little girl is being kind to an animal.,the little white girl is being kind to an African animal.
1090,1090,contradiction,a young child wearing an overall dress with a floral patterned skirt and a white t-shirt pets a baby deer with a backpack on her back.,"a young child is at home, nursing a swollen foot.","a young white child is at home, nursing a swollen left foot."
1091,1091,neutral,a young child wearing an overall dress with a floral patterned skirt and a white t-shirt pets a baby deer with a backpack on her back.,the little girl is at a petting zoo and is enchanted by the baby deer.,the little sister girl is at a petting zoo and is enchanted by the little baby deer.
1092,1092,neutral,a small girl wearing denim overalls and a flowered skirt reaches out to pet a seated deer.,a small girl wearing denim overalls and a flowered yellow skirt reaches out to pet a seated deer.,a small white girl wearing denim white overalls and a flowered yellow sweater skirt reaches out to pet a seated deer.
1093,1093,contradiction,a small girl wearing denim overalls and a flowered skirt reaches out to pet a seated deer.,a small girl enjoys playing twister with her friends.,a small school girl enjoys playing character twister with her friends.
1094,1094,entailment,a small girl wearing denim overalls and a flowered skirt reaches out to pet a seated deer.,a person pets an animal,a person pets an ordinary animal
1095,1095,entailment,young girl reaches out to pet a deer.,the deer was near the girl.,the deer was near the young girl.
1096,1096,neutral,young girl reaches out to pet a deer.,the deer was domesticated.,the deer was domesticated.
1097,1097,neutral,a little brunette girl squats down to pet a deer laying in sand.,the girl pets a dead deer laying in the sand.,the older girl pets a dead deer laying in the sand.
1098,1098,entailment,a little brunette girl squats down to pet a deer laying in sand.,the girl pets a deer.,the middle girl pets a deer.
1099,1099,contradiction,young girl reaches out to pet a deer.,the girl was afraid of the deer.,the young girl was afraid of the deer.
1100,1100,contradiction,young children like to pet the deer.,children pet a bunny.,The children pet a bunny.
1101,1101,entailment,young children like to pet the deer.,children interact with an animal.,The children interact with an adult animal.
1102,1102,neutral,"male skier launching off the top of a snow covered roof, one story up.",a man is doing ski tricks.,a white man is doing ski tricks.
1103,1103,entailment,"male skier launching off the top of a snow covered roof, one story up.",a skier skis off of a roof.,a skier skis off of a car roof.
1104,1104,contradiction,"male skier launching off the top of a snow covered roof, one story up.",a male skier is sitting on a lift.,a male skier is sitting on a ski lift.
1105,1105,contradiction,a person on skis is flying through the air near a brick building surrounded by snow.,a snowboarder shows off his skills,a snowboarder shows off his new skills
1106,1106,neutral,a person on skis is flying through the air near a brick building surrounded by snow.,an olympic skier does a gold winning stunt,an olympic skier does a gold winning stunt
1107,1107,entailment,a person on skis is flying through the air near a brick building surrounded by snow.,a skier goes by a building,a skier goes by a water building
1108,1108,neutral,a man in a two-toned gray jacket and blue jeans is touching his skis against the top corner of a building in a midair maneuver.,the man is doing a tricky maneuver.,the white man is doing a tricky maneuver.
1109,1109,entailment,a man in a two-toned gray jacket and blue jeans is touching his skis against the top corner of a building in a midair maneuver.,the man in the two-toned gray jacket and jeans is skiing.,the white man in the two- toned gray black jacket and blue jeans is skiing.
1110,1110,entailment,a person on skis is in midair near a brick building.,a skier practices his moves outdoor.,a skier practices his 3 moves outdoor.
1111,1111,neutral,a person on skis is in midair near a brick building.,a professional skiman practices outdoors.,a professional skiman also practices outdoors.
1112,1112,contradiction,a person on skis is in midair near a brick building.,a man is falling down from above.,a white man is falling down from above.
1113,1113,entailment,a man using ski gear is jumping through the air near a brick building and blue guardrails.,a man is jumping.,a white man is jumping.
1114,1114,contradiction,a man in a two-toned gray jacket and blue jeans is touching his skis against the top corner of a building in a midair maneuver.,the man is throwing a football.,the middle man is throwing a football.
1115,1115,contradiction,a man using ski gear is jumping through the air near a brick building and blue guardrails.,a naked man is running across the outfield at dodger stadium.,a naked black man is running across the outfield at dodger stadium.
1116,1116,neutral,a man using ski gear is jumping through the air near a brick building and blue guardrails.,the man is trying to escape a robbery.,the black man is trying to escape a robbery.
1117,1117,neutral,"a man riding a bike wearing flannel shirt, plaid pants and a blue backpack while riding on a street near buildings and parked cars.",a man is riding a motorcycle.,a black man is riding a motorcycle.
1118,1118,entailment,person riding their bicycle on the street with a backpack on.,person riding their bicycle outside.,Another person riding their second bicycle outside.
1119,1119,neutral,person riding their bicycle on the street with a backpack on.,person with a backpack on riding their bicycle to school.,person with a small backpack on riding their bicycle to school.
1120,1120,contradiction,a person wearing a blue and white coat rides a bicycle down the street.,the person is rollerblading.,the second person is rollerblading.
1121,1121,neutral,a person wearing a blue and white coat rides a bicycle down the street.,the person is heading to school.,the opposite person is heading to school.
1122,1122,entailment,a man wearing lots of plaid riding a bike through the streets,a person riding a bike.,a white person riding a yellow bike.
1123,1123,contradiction,a man wearing lots of plaid riding a bike through the streets,a hipster roller skating down the street.,a hipster woman roller skating down the high street.
1124,1124,neutral,a man wearing lots of plaid riding a bike through the streets,a hipster riding a bike.,a hipster riding a black bike.
1125,1125,entailment,a bicyclist with a backpack rides down a suburban street.,a bike rider is traveling along the street,a yellow bike rider is traveling along the street
1126,1126,contradiction,a bicyclist with a backpack rides down a suburban street.,a bike rider crashes his bike,a motorcycle bike rider crashes his bike
1127,1127,contradiction,"a man riding a bike wearing flannel shirt, plaid pants and a blue backpack while riding on a street near buildings and parked cars.",two women are on computers.,two women are on computers.
1128,1128,entailment,"a man riding a bike wearing flannel shirt, plaid pants and a blue backpack while riding on a street near buildings and parked cars.",a man is wearing flannel.,a white man is wearing flannel.
1129,1129,neutral,a bicyclist with a backpack rides down a suburban street.,a bicyclist is riding towards campus,a white bicyclist is riding towards campus
1130,1130,entailment,a person wearing a blue and white coat rides a bicycle down the street.,the person is on a bicycle.,the second person is on a white bicycle.
1131,1131,contradiction,person riding their bicycle on the street with a backpack on.,person running on the street with a backpack on.,person running on the street with a black backpack on.
1132,1132,entailment,a man with parted hair and wearing glasses is seated outdoors on a bench where he is reading.,a man wearing glasses reads a book on an outdoor bench.,a black man wearing black glasses reads a book on an outdoor bench.
1133,1133,neutral,"an elderly man with light brown hair, wearing a gray sweater, blue shirt, brown pants and tan shoes, reads a book sitting at a bench, as two ducks feed themselves on the grass.","after feeding the ducks, an old man reads a book about birds","after feeding the ducks, an old black man reads a book about birds"
1134,1134,entailment,"an elderly man with light brown hair, wearing a gray sweater, blue shirt, brown pants and tan shoes, reads a book sitting at a bench, as two ducks feed themselves on the grass.",an older man reads a book next to some ducks,an older black man reads a book next to some ducks
1135,1135,neutral,a man sits outside at a wooden table and reads a book while ducks eat in the foreground.,the man at the table is reading a book while ducks are in sight are fighting,the black man at the table is reading a book while ducks are in sight are fighting
1136,1136,contradiction,a man sits outside at a wooden table and reads a book while ducks eat in the foreground.,the man is giving bread to the ducks,the white man is giving bread to the ducks
1137,1137,entailment,a man sits outside at a wooden table and reads a book while ducks eat in the foreground.,the man at the table is reading a book while ducks are is sight,the tall man at the table is reading a book while ducks are is sight
1138,1138,contradiction,man reads in a park while feeding the ducks.,a man is feeding his dog while watching tv.,a black man is feeding his dog while watching tv.
1139,1139,entailment,man reads in a park while feeding the ducks.,a person is at a park feeding ducks while reading.,a female person is at a park feeding colored ducks while reading.
1140,1140,neutral,man reads in a park while feeding the ducks.,"a man is sitting at a park bench near a pond reading a newspaper, while throwing pieces of bread to some ducks.","a black man is sitting at a parkway bench near a pond reading a newspaper, while throwing pieces of bread to some ducks."
1141,1141,neutral,an elderly man sitting on a bench while reading a book.,an old man reading a book on a bench next to a duck pond.,an old looking man reading a book on a wooden bench next to a small duck pond.
1142,1142,contradiction,an elderly man sitting on a bench while reading a book.,an old man working on a wooden cabinet in his shop.,an old black man working on a wooden cabinet in his shop.
1143,1143,entailment,an elderly man sitting on a bench while reading a book.,an elderly man sitting on a bench reading his book outside.,an elderly black man sitting on a wooden bench reading his book outside.
1144,1144,neutral,a man with parted hair and wearing glasses is seated outdoors on a bench where he is reading.,a businessman enjoys a quiet lunch reading a book on a park bench.,a rich businessman enjoys a quiet lunch reading a large book on a parking bench.
1145,1145,contradiction,a man with parted hair and wearing glasses is seated outdoors on a bench where he is reading.,a man tries to frantically run all of his errands on his short lunch hour.,a young man tries to frantically run all of his errands on his short lunch hour.
1146,1146,contradiction,"an elderly man with light brown hair, wearing a gray sweater, blue shirt, brown pants and tan shoes, reads a book sitting at a bench, as two ducks feed themselves on the grass.",a woman feeds geese next to a lake,a third woman feeds geese next to a lake
1147,1147,neutral,a man at a podium is speaking to a group of men at a conference.,that guy is the keynote speaker.,that little guy is the first keynote radio speaker.
1148,1148,contradiction,a man is speaking a presentation while others watch a slide show.,a cat is fighting another cat over food.,a cat is fighting another cat over making food.
1149,1149,entailment,a man is speaking a presentation while others watch a slide show.,a man is speaking a presentation while others watch the slide show.,a black man is speaking a presentation while others watch the slide show.
1150,1150,neutral,a man is speaking a presentation while others watch a slide show.,a man is speaking a presentation about the dangers of drugs.,a black man is speaking a presentation about the dangers of drugs.
1151,1151,contradiction,men in suits watch a slide show in front of a mural of the golden gate bridge.,the men are watching a movie near the brooklyn bridge.,the three men are watching a movie near the brooklyn bridge.
1152,1152,entailment,a room with men dressed in suits and glasses.,the men are all dress in formal wear quite similar to one another.,the three men are all dress in formal wear quite similar to one another.
1153,1153,neutral,men in suits watch a slide show in front of a mural of the golden gate bridge.,the men are developers,the middle men are developers
1154,1154,neutral,a room with men dressed in suits and glasses.,they are fbi agents waiting for further instructions.,they are fbi agents waiting for further intelligence instructions.
1155,1155,entailment,standing at a podium in front of a colorful mural and old gentleman uses a screen to communicate to other men at a table and in the audience.,this man is giving a speech to others.,this one man is giving a speech to others.
1156,1156,neutral,standing at a podium in front of a colorful mural and old gentleman uses a screen to communicate to other men at a table and in the audience.,the old gentleman is having trouble learning how to use the screen to communicate.,the old gentleman is having trouble learning how to use the white screen to communicate.
1157,1157,contradiction,standing at a podium in front of a colorful mural and old gentleman uses a screen to communicate to other men at a table and in the audience.,a preacher delivers his sermon to the congregation.,a preacher delivers his sermon to the congregation.
1158,1158,contradiction,standing at a podium in front of a colorful mural and old gentleman uses a screen to communicate to other men at a table and in the audience.,a man talking to himself on a podium.,a black man talking to himself on a podium.
1159,1159,entailment,standing at a podium in front of a colorful mural and old gentleman uses a screen to communicate to other men at a table and in the audience.,a man makes a presentation.,a black man makes a presentation.
1160,1160,contradiction,standing at a podium in front of a colorful mural and old gentleman uses a screen to communicate to other men at a table and in the audience.,a woman is sitting at a table in front of an audience.,a black woman is sitting at a long table in front of an audience.
1161,1161,neutral,standing at a podium in front of a colorful mural and old gentleman uses a screen to communicate to other men at a table and in the audience.,a man is giving a speech about his profession to a group of students.,a black man is giving a speech about his profession to a group of students.
1162,1162,neutral,standing at a podium in front of a colorful mural and old gentleman uses a screen to communicate to other men at a table and in the audience.,a head coach of a team talks to reporters in the audience.,a team head coach of a national team talks to television reporters in the home audience.
1163,1163,contradiction,standing at a podium in front of a colorful mural and old gentleman uses a screen to communicate to other men at a table and in the audience.,the men are about to play a game of paintball.,the three men are about to play a game of paintball.
1164,1164,entailment,standing at a podium in front of a colorful mural and old gentleman uses a screen to communicate to other men at a table and in the audience.,an old man communicates with men in the audience.,an old looking man communicates with white men in the audience.
1165,1165,contradiction,a room with men dressed in suits and glasses.,the men are secretly aliens from another planet who are plotting to take over nebraska.,the three men are secretly aliens from another planet who are plotting to take over nebraska.
1166,1166,neutral,standing at a podium in front of a colorful mural and old gentleman uses a screen to communicate to other men at a table and in the audience.,a man makes a presentation to his colleagues.,a black man makes a presentation to his colleagues.
1167,1167,contradiction,standing at a podium in front of a colorful mural and old gentleman uses a screen to communicate to other men at a table and in the audience.,the old gentleman was standing at a podium in front of a blank mural.,the old English gentleman was standing at a white podium in one front of a blank marble mural.
1168,1168,entailment,standing at a podium in front of a colorful mural and old gentleman uses a screen to communicate to other men at a table and in the audience.,the old gentlean used a screen to interact to other men at a table.,the old gentlean used a black screen to interact to other young men at a table.
1169,1169,entailment,standing at a podium in front of a colorful mural and old gentleman uses a screen to communicate to other men at a table and in the audience.,the old gentleman is communicating with the other men,the old gentleman is communicating with the other two men
1170,1170,neutral,standing at a podium in front of a colorful mural and old gentleman uses a screen to communicate to other men at a table and in the audience.,the old gentleman using the screen is asian.,the old gentleman using the black screen is asian.
1171,1171,entailment,men in suits watch a slide show in front of a mural of the golden gate bridge.,the men are near a bridge,the middle men are near a bridge
