,image_id,original,modified
4390,"877    345027
Name: id, dtype: int64",A moped and utility truck next to a small building.,A tank and utility truck next to a small building.
4391,"877    345027
Name: id, dtype: int64","There so many boats, car and scooter at the beach","There so many boats, car and scooter at the mall"
4392,"877    345027
Name: id, dtype: int64",A vehicle and a motor bike on the beach.,A vehicle and a stranger on the beach.
4393,"878    571804
Name: id, dtype: int64",Ten porcelain pieces with floral patterns painted on them.,Ten bicycles with floral patterns painted on them.
4394,"878    571804
Name: id, dtype: int64","A collection of sinks, and basins are on display.","A collection of sinks, and appliances are on display."
4395,"878    571804
Name: id, dtype: int64","fine china stays on display, not to be touched ","fine china stays on shelf display, not to be touched "
4396,"878    571804
Name: id, dtype: int64",A porcelain tea and bathroom set is on display.,A porcelain tea and decorated bathroom set is on display.
4397,"878    571804
Name: id, dtype: int64","A collection of soap dishes, bowls, and small trinkets. ","A collection of vintage soap dishes, bowls, and small trinkets. "
4398,"879    140658
Name: id, dtype: int64",A brick building with a tall clock tower beside it.,A brick building with a tall clock tower installed beside it.
4399,"879    140658
Name: id, dtype: int64",The exterior of a building with a clock.,The exterior of a building with merely a clock.
4400,"879    140658
Name: id, dtype: int64",A clock on the very top of a building.,A clock on the bottom very top of a building.
4401,"879    140658
Name: id, dtype: int64",A brick structure with a clock tower in the background.,A brick structure with a fireplace in the background.
4402,"879    140658
Name: id, dtype: int64",A clock tower on top of a church with a weather vein.,A clock tower appears on top of a church with a weather vein.
4403,"880    102644
Name: id, dtype: int64",A white toilet sitting in a bathroom next to a shower.,A floating toilet sitting in a bathroom next to a shower.
4404,"880    102644
Name: id, dtype: int64",There is a bathroom with tile floors and tile walls.,There now is a bathroom with tile floors and tile walls.
4405,"880    102644
Name: id, dtype: int64","A bathroom with a glass shower door, a toilet and a towel handle. ","A bathroom with a glass shower door, either a toilet and a towel handle. "
4406,"880    102644
Name: id, dtype: int64",a bathroom with a walk in shower and toilet,a bathroom connected with a walk in shower and toilet
4407,"880    102644
Name: id, dtype: int64",A small bathroom with a shower and a toilet.,A small bathroom built with a shower and a toilet.
4408,"881    581615
Name: id, dtype: int64",A picture of a white toilet in the rest room. ,A picture of a white toilet in at the rest room. 
4409,"881    581615
Name: id, dtype: int64",A bathroom with an auto flush urinal ,A public bathroom with an auto flush urinal 
4410,"881    581615
Name: id, dtype: int64",a urinal hanging on a wall in between two stalls,a urinal hanging on a wall hidden in between two stalls
4411,"881    581615
Name: id, dtype: int64",A wall urinal in a stall with an auto sensor flushing system.,A curved wall urinal in a stall with an auto sensor flushing system.
4412,"881    581615
Name: id, dtype: int64",A view of a man's urinal inside a bathroom stall.,A selfie of a man's urinal inside a bathroom stall.
4413,"882    279887
Name: id, dtype: int64",A group of motorcycles are on display at a museum.,A group of motorcycles are on display nearby at a museum.
4414,"882    279887
Name: id, dtype: int64",view of a motorcycle sitting amongst others at a convention,view of a motorcycle sitting amongst others at a Harley convention
4415,"882    279887
Name: id, dtype: int64",Many motorcycles are displayed in the store with descriptive signs posted near them. ,Many motorcycles are displayed in the store with descriptive signs purposely posted near them. 
4416,"882    279887
Name: id, dtype: int64",a motorcycle parked in doors near other vehicles ,a motorcycle thief parked in doors near other vehicles 
4417,"882    279887
Name: id, dtype: int64",there are many different bikes that are on display,there are many different bikes that are on schedule
4418,"883    230008
Name: id, dtype: int64",a traffic motorcycle cop waits to give a ticket,a traffic motorcycle coach waits to give a ticket
4419,"883    230008
Name: id, dtype: int64",A police officer on a motorcycle sitting at the corner. ,A police officer on a motorcycle sitting at the opposite corner. 
4420,"883    230008
Name: id, dtype: int64",A police officer is outside on his bike.,A SWAT officer is outside on his bike.
4421,"883    230008
Name: id, dtype: int64",Police officer laying a speed trap for the purpose of writing a ticket.,Police officer laying a speed camera for the purpose of writing a ticket.
4422,"883    230008
Name: id, dtype: int64",A police man on a motorcycle is idle in front of a bush.,A police man on a walk is idle in front of a bush.
4423,"884    284698
Name: id, dtype: int64",The image of a man holding a camera is in this motorcycle side mirror. ,The image of a man holding a camera cap is in this motorcycle side mirror. 
4424,"884    284698
Name: id, dtype: int64",a guy inside a car taking a picture through the mirror in a remote area,a guy inside a car taking a picture through the mirror in a remote apartment
4425,"884    284698
Name: id, dtype: int64",A man taking a picture of his reflection in a motorcycle mirror.,A man taking a humorous picture of his reflection in a motorcycle mirror.
4426,"884    284698
Name: id, dtype: int64",A man taking a picture of himself in the rear view mirror.,A Syrian man taking a picture of himself in the rear view mirror.
4427,"884    284698
Name: id, dtype: int64",A man taking a picture in a side car mirror with his cell phone.,A man taking a picture in touching a side car mirror with his cell phone.
4428,"885    102356
Name: id, dtype: int64",Woman on a motorcycle with a sidecar in front of scenic backdrop in a showroom.,Woman on a motorcycle with a sidecar in front garden of scenic backdrop in a showroom.
4429,"885    102356
Name: id, dtype: int64",A woman riding a green motorcycle with a side car.,A woman riding a green motorcycle starts with a side car.
4430,"885    102356
Name: id, dtype: int64",A picture of a women sitting on a motorcycle with a side car with a desert background of hills.  ,A picture of a women sitting on a cliff with a side car with a desert background of hills.  
4431,"885    102356
Name: id, dtype: int64",a woman sits on a motor bike with a cart extended ,a woman sits out on a motor bike with a cart extended 
4432,"885    102356
Name: id, dtype: int64",A woman sits on a motorcycle with a sidecar.,A woman sits on a freeway with a sidecar.
4433,"886    456394
Name: id, dtype: int64","BLUE MOTORCYCLE ON DISPLAY, SURROUNDED BY OTHER VEHICLES","BLUE MOTORCYCLE ON DISPLAY, SURROUNDED BY OTHER ACTION VEHICLES"
4434,"886    456394
Name: id, dtype: int64",A blue motorcycle is displayed in a showroom.,A blue motorcycle is displayed in a pond.
4435,"886    456394
Name: id, dtype: int64",A motorcycle is on esplanade at the car show.,A motorcycle is tested on esplanade at the car show.
4436,"886    456394
Name: id, dtype: int64",A blue motorcycle parked on display  next to other vehicles.,A blue motorcycle parked on rooft  next to other vehicles.
4437,"886    456394
Name: id, dtype: int64",A show floor with a shiny blue motorcycle surrounded by bars.,The show floor with a shiny blue motorcycle surrounded by bars.
4438,"887    323709
Name: id, dtype: int64",Large commercial cargo plane sits on tarmac next to radar equipment.,Large commercial cargo plane sits on view next to radar equipment.
4439,"887    323709
Name: id, dtype: int64",A large jet airplane parked next to a domed tower.,A large jet airplane parked next to a residential tower.
4440,"887    323709
Name: id, dtype: int64",A World Cargo 747 airline is taxiing down a runway.,A Real World Cargo 747 airline is taxiing down a runway.
4441,"887    323709
Name: id, dtype: int64",A jet plane and a large white sphere.,A jet plane and a small white sphere.
4442,"887    323709
Name: id, dtype: int64",An airplane is parked next to a domed tower.,An airplane parked is parked next to a domed tower.
4443,"888    452122
Name: id, dtype: int64",An airplane flying in the air during the day.,An airplane flying in towards the air during the day.
4444,"888    452122
Name: id, dtype: int64",A large aircraft is shown in the air.,A large aircraft is shown in the night air.
4445,"888    452122
Name: id, dtype: int64",The large jumbo jet has it's landing gear lowered.,The large jumbo sports jet has it's landing gear lowered.
4446,"888    452122
Name: id, dtype: int64",A large white airplane flies in the gray sky.,A sleek large white airplane flies in the gray sky.
4447,"888    452122
Name: id, dtype: int64",An airplane in route with a cloudy sky behind it.,An airplane in route with a cloudy sky behind board it.
4448,"889    579158
Name: id, dtype: int64",a red and blue plan on the runway getting ready to get passengers ,a red and blue plan on the board getting ready to get passengers 
4449,"889    579158
Name: id, dtype: int64",The airplane is parked on the runway in the airport.,The airplane is parked on approaching the runway in the airport.
4450,"889    579158
Name: id, dtype: int64",A red yellow and blue airplane is sitting on the runway. ,A red gold and blue airplane is sitting on the runway. 
4451,"889    579158
Name: id, dtype: int64",A Southwest Airlines jet pulled up to the terminal for loading.,A Southwest Airlines jet pulled up headed to the terminal for loading.
4452,"889    579158
Name: id, dtype: int64",a blue and red plane on a runway,a blue and red skirt on a runway
4453,"890    525322
Name: id, dtype: int64",two stunt airplanes touching their wings as the fly,two stunt airplanes touching their wings as the ride
4454,"890    525322
Name: id, dtype: int64",Airplanes do fly in unison during an air show.,Airplanes do drones fly in unison during an air show.
4455,"890    525322
Name: id, dtype: int64",Two jets are flying against a bright blue sky.,Two small jets are flying against a bright blue sky.
4456,"890    525322
Name: id, dtype: int64","A picture of an open air zone that looks incredible.
","A picture show of an open air zone that looks incredible.
"
4457,"890    525322
Name: id, dtype: int64",two air planes flying in the air near one another ,two air planes flying in the air harassing one another 
4458,"891    33114
Name: id, dtype: int64",A few meters are sitting near an Air plane. ,A few meters are sitting just near an Air plane. 
4459,"891    33114
Name: id, dtype: int64",A airplane that is sitting on a runway.,umbo airplane that is sitting on a runway.
4460,"891    33114
Name: id, dtype: int64",The back view of an airplane on a runway.,The back view of an operational airplane on a runway.
4461,"891    33114
Name: id, dtype: int64",An airplane has just landed on a runway. ,An airplane has just landed directly on a runway. 
4462,"891    33114
Name: id, dtype: int64",Searchlights in front view and a plane on a wide runway in the background.,Searchlights in front view and a plane on a wide field in the background.
4463,"892    8690
Name: id, dtype: int64",The two young girls are petting the two goats.,The two naked girls are petting the two goats.
4464,"892    8690
Name: id, dtype: int64",Two small children petting animals at a zoo.,Two small children survive petting animals at a zoo.
4465,"892    8690
Name: id, dtype: int64",Two young girls petting goats in a pen.,Two young girls petting goats in a pond.
4466,"892    8690
Name: id, dtype: int64",Two girls pet a goat that is in a pen.,These girls pet a goat that is in a pen.
4467,"892    8690
Name: id, dtype: int64",This is an image of two girls with goats,following is an image of two girls with goats
4468,"893    381639
Name: id, dtype: int64",A little girl walking along a row of orange cones.,A little girl peers along a row of orange cones.
4469,"893    381639
Name: id, dtype: int64",a little girl is standing on a runway,a little white girl is standing on a runway
4470,"893    381639
Name: id, dtype: int64",A girl stands on an airport tarmac between orange cones in front of an airplane being boarded.,A girl stands on an airport tarmac between orange cones positioned in front of an airplane being boarded.
4471,"893    381639
Name: id, dtype: int64",this is a little girl standing in an airport,this is a little girl standing in an airplane
4472,"893    381639
Name: id, dtype: int64",A little girl is standing between several orange cones.,A little girl is standing patiently between several orange cones.
4473,"894    217614
Name: id, dtype: int64",A giraffe is walking in some tall grass,A giraffe sitting in some tall grass
4474,"894    217614
Name: id, dtype: int64",A giraffe standing in tall grass with trees.,A giraffe riding in tall grass with trees.
4475,"894    217614
Name: id, dtype: int64",A giraffe standing in some tall grass outside.,A giraffe standing in some freshly tall grass outside.
4476,"894    217614
Name: id, dtype: int64",A giraffe standing in the middle of  a lush green field.,A giraffe standing in on the middle of  a lush green field.
4477,"894    217614
Name: id, dtype: int64",A giraffe stands in the brush near trees.,A boy stands in the brush near trees.
4478,"895    284445
Name: id, dtype: int64",A group of people crossing a street next to a bend traffic light.,A group of people crossing onto a street next to a bend traffic light.
4479,"895    284445
Name: id, dtype: int64",A very crowded sidewalk with a crooked light pole.,A very crowded sidewalk with quite a crooked light pole.
4480,"895    284445
Name: id, dtype: int64",A light post leans towards a crowd on a busy city street.,A flower post leans towards a crowd on a busy city street.
4481,"895    284445
Name: id, dtype: int64",Pedestrians walking on a sidewalk by a badly tipped traffic light,Pedestrians walking on a sidewalk by a badly tipped bike light
4482,"895    284445
Name: id, dtype: int64",a number of people walking on a side walk,a number of cyclists walking on a side walk
4483,"896    468124
Name: id, dtype: int64",A double-decker bus is parked in a large field.,A BMW is parked in a large field.
4484,"896    468124
Name: id, dtype: int64",A double decker bus sitting on a green field.,A double decker bus sitting on nearly a green field.
4485,"896    468124
Name: id, dtype: int64",A Northumbria bus is parked in a field.,A Northumbria bus is parked illegally in a field.
4486,"896    468124
Name: id, dtype: int64",A double-decker bus turned in to a traveling showcase for a University,A double-decker bus turned in to a traveling showcase for a teenager
4487,"896    468124
Name: id, dtype: int64",We see a double decker bus wit a compartment in the side.,We see a commuter bus wit a compartment in the side.
4488,"897    187144
Name: id, dtype: int64", A white bus parked at a stop next to a crowd., A white bus parked at a stop next Tuesday to a crowd.
4489,"897    187144
Name: id, dtype: int64",THERE IS A BUS PARKED ON THE SIDE OF THE STREET,THERE IS A BUS PARKED ON THE SIDE OF THE MAX
4490,"897    187144
Name: id, dtype: int64",A white bus is pulled up to a sidewalk.,A stolen white bus is pulled up to a sidewalk.
4491,"897    187144
Name: id, dtype: int64",Passengers standing outside a green and white tour bus.,Passengers standing outside a green and green tour bus.
4492,"897    187144
Name: id, dtype: int64",A group of people stand on a path outside a parked bus. ,A group of people currently stand on a path outside a parked bus. 
4493,"898    273198
Name: id, dtype: int64",A man opening a fire hydrant spewing out rusty water into a street.,A man opening a fire hydrant spewing out pouring water into a street.
4494,"898    273198
Name: id, dtype: int64",A man opens a fire hydrant and brown colored water is flowing out.,A man opens a fire hydrant and brown colored filter water is flowing out.
4495,"898    273198
Name: id, dtype: int64",Muddy water is coming out from a water hose.,Muddy water is coming out downstream from a water hose.
4496,"898    273198
Name: id, dtype: int64",A man opening a fire hydrant on a city side walk.,A man opening a fire hydrant on a city side pier.
4497,"898    273198
Name: id, dtype: int64","a fire hydrant that has dirty, brown water inside","a fire hydrant that has exposed dirty, brown water inside"
4498,"899    95843
Name: id, dtype: int64",A double decker bus is shown that is not in service.,A double decker bus is shown that is not legally in service.
4499,"899    95843
Name: id, dtype: int64",A double decker bus parked near a curb by trees. ,A double decker van parked near a curb by trees. 
4500,"899    95843
Name: id, dtype: int64",a double decker bus sits parked on a curb ,a double decker bus sits parked down on a curb 
4501,"899    95843
Name: id, dtype: int64",A large blue and white bus on a road.,A large flashing blue and white bus on a road.
4502,"899    95843
Name: id, dtype: int64",A blue and white double decker bus on side of street.,A blue and white double decker shuttle bus on side of street.
4503,"900    417779
Name: id, dtype: int64",A grey and orange fire hydrant next to a street.,A grey and orange grass fire hydrant next to a street.
4504,"900    417779
Name: id, dtype: int64",A fire hydrant stands at the corner of two city streets.,A fire hydrant stands at just the corner of two city streets.
4505,"900    417779
Name: id, dtype: int64",A fire hydrant in the middle of the street curbside,A bicycle in the middle of the street curbside
4506,"900    417779
Name: id, dtype: int64",There is a fireplug at the corner of this intersection in the residential section of town.,There is a brown fireplug at the corner of this intersection in the residential section of town.
4507,"900    417779
Name: id, dtype: int64",a red and grey fire hydrant on a street corner.,a dusty red and grey fire hydrant on a street corner.
4508,"901    447342
Name: id, dtype: int64",Two buses in city with other cars and trees. ,Two buses in city street with other cars and trees. 
4509,"901    447342
Name: id, dtype: int64","Several vehicles providing ground transportation are shown in the photo: streetcar, tourbus, classic car and family cars","Several vehicles providing ground transportation are shown in the photo: streetcar, tourbus, semi classic car and family cars"
4510,"901    447342
Name: id, dtype: int64",an old bus and a trolley car going down the road ,an old wheel and a trolley car going down the road 
4511,"901    447342
Name: id, dtype: int64",Old style bus and trolley going down a modern street.,Old style cafe and trolley going down a modern street.
4512,"901    447342
Name: id, dtype: int64",there is a old bus that is next to a trolly on the street,there is a old sculpture that is next to a trolly on the street
4513,"902    166563
Name: id, dtype: int64",A large statue of an elephant is attached to a business sign.,A large impression of an elephant is attached to a business sign.
4514,"902    166563
Name: id, dtype: int64",a statue of an elephant with a box on its back ,a wooden statue of an elephant with a box on its back 
4515,"902    166563
Name: id, dtype: int64",An advertising billboard featuring the statue of an elephant with a howdah on its back.,An electric billboard featuring the statue of an elephant with a howdah on its back.
4516,"902    166563
Name: id, dtype: int64",A giant elephant is next to the Aurora rents sign. ,A giant elephant is next to the city rents sign. 
4517,"902    166563
Name: id, dtype: int64",An eyecatching sign shaped like an elephant holding a billboard.,An eyecatching sign shaped like an elephant below a billboard.
4518,"903    490125
Name: id, dtype: int64",White birds are gathered around a water puddle.,White birds flap around a water puddle.
4519,"903    490125
Name: id, dtype: int64",A group of birds in a bunch of puddles. ,A group of birds indulge in a bunch of puddles. 
4520,"903    490125
Name: id, dtype: int64",White birds getting a drink from the water puddles.,White birds getting a drink from the hot water puddles.
4521,"903    490125
Name: id, dtype: int64",Several white birds standing in a puddle in a parking lot.,Several white birds standing in as a puddle in a parking lot.
4522,"903    490125
Name: id, dtype: int64",A flock of white birds stands in a parking lot puddle.,A flock of white birds stands in a warm puddle.
4523,"904    561009
Name: id, dtype: int64",A bird perched on top of a tree branch.,A bird nest perched on top of a tree branch.
4524,"904    561009
Name: id, dtype: int64",A brown bird has a small yellow head.,A brown bird occasionally has a small yellow head.
4525,"904    561009
Name: id, dtype: int64",A bird with brown wings and head perched in a tree.,A bird with brown wings and body perched in a tree.
4526,"904    561009
Name: id, dtype: int64",A bird that is perched in a tree.,A bird that is perched in a nest.
4527,"904    561009
Name: id, dtype: int64",A bird sits perched on a tree branch.,A bird man sits perched on a tree branch.
4528,"905    183675
Name: id, dtype: int64",A man is riding a horse in an open field.,A man is riding bicycles in an open field.
4529,"905    183675
Name: id, dtype: int64","Cowboy riding a horse in a huge pasture..
","Cowboy riding a horse in a huge backyard pasture..
"
4530,"905    183675
Name: id, dtype: int64",a man riding a horse in the middle of the mountain range.,a Native man riding a horse in the middle of the mountain range.
4531,"905    183675
Name: id, dtype: int64",an old man sitting on top of a horse next to the mountains,an old man sitting on top of a horse next to explore the mountains
4532,"905    183675
Name: id, dtype: int64",A man wearing cowboy gear is sitting on a horse.,A man quietly wearing cowboy gear is sitting on a horse.
4533,"906    290248
Name: id, dtype: int64",A crowd of people standing in the middle of a street.,A stunned crowd of people standing in the middle of a street.
4534,"906    290248
Name: id, dtype: int64",A crowd of people are walking through a covered sidewalk.,Do crowd of people are walking through a covered sidewalk.
4535,"906    290248
Name: id, dtype: int64",People walk down a crowded street at a festival,People walk flowers down a crowded street at a festival
4536,"906    290248
Name: id, dtype: int64",A large crowd is walking in the street for a festival,A large crowd is emerging in the street for a festival
4537,"906    290248
Name: id, dtype: int64",Several people are grouped together in a public area.,Several people are grouped together in a wide public area.
4538,"907    532058
Name: id, dtype: int64",A boy sipping a milk bottle while lying on a bed.,A boy sipping a milk starter bottle while lying on a bed.
4539,"907    532058
Name: id, dtype: int64",A small child laying on a bed drinking from a bottle.,A small child laying on a bed drinking drink from a bottle.
4540,"907    532058
Name: id, dtype: int64",A little boy drinking milk from a bottle while laying in bed.,A little boy drinking milk from a bath bottle while laying in bed.
4541,"907    532058
Name: id, dtype: int64",A young boy lying in a bed with a sippy cup.,A young boy lying in a bed stuffed with a sippy cup.
4542,"907    532058
Name: id, dtype: int64",A small child laying in bed drinking a bottle of milk.,A small child laying in bed drinking a crate of milk.
4543,"908    214200
Name: id, dtype: int64","A red stop sign that reads "" Eating Animals "" below it.","A red stop sign that reads "" Eating Healthy "" below it."
4544,"908    214200
Name: id, dtype: int64",Road signage with sticker displayed near parking area.,Road signage branded with sticker displayed near parking area.
4545,"908    214200
Name: id, dtype: int64",People don't seem to be able to pass a Stop sign without defacing them.,People don't seem to be able to pass a Shopping Stop sign without defacing them.
4546,"908    214200
Name: id, dtype: int64","A stop sign vandalized with an ""eating animals"" sticker below the word ""stop.""","A store vandalized with an ""eating animals"" sticker below the word ""stop."""
4547,"908    214200
Name: id, dtype: int64",A stop sign with a eating animals sticker on it.,A stop sign with a rainbow eating animals sticker on it.
4548,"909    578093
Name: id, dtype: int64",a white yellow and blue train at an empty train station,a white yellow and chrome blue train at an empty train station
4549,"909    578093
Name: id, dtype: int64",A train is moving through a train station.,A train is moving through London station.
4550,"909    578093
Name: id, dtype: int64",A train is shown on the inside of a station.,Railway train is shown on the inside of a station.
4551,"909    578093
Name: id, dtype: int64",a large train is sitting inside a train station,a large train passenger inside a train station
4552,"909    578093
Name: id, dtype: int64",A train is scene in the station with no people around.,A freight train is scene in the station with no people around.
4553,"910    369751
Name: id, dtype: int64",Parking meters and signage are on the side of the street,Parking meters and signage are on the side corner of the street
4554,"910    369751
Name: id, dtype: int64",A row of parking meters in front of a stop sign. ,A row of parking station meters in front of a stop sign. 
4555,"910    369751
Name: id, dtype: int64",A car is driving down the road near some road signs. ,A car is driving down the road near pedestrian signs. 
4556,"910    369751
Name: id, dtype: int64",a row of parking meters line a street in front of a stop sign,a square row of parking meters line a street in front of a stop sign
4557,"910    369751
Name: id, dtype: int64",A view of a parking lot with parking meters.,A view of even a parking lot with parking meters.
4558,"911    429011
Name: id, dtype: int64",Model of two cars with a man near a blue phonebooth.,wreckage of two cars with a man near a blue phonebooth.
4559,"911    429011
Name: id, dtype: int64",Two toy vehicles and a police box are set up in a street scene.,Two toy vehicles and a police box are set up in a London street scene.
4560,"911    429011
Name: id, dtype: int64",The model toys are positioned on the table. ,The model toys are positioned on each the table. 
4561,"911    429011
Name: id, dtype: int64",a green red and white truck a building and a black car,a green red and white truck a building and a black boat
4562,"911    429011
Name: id, dtype: int64",A car and a truck on a city street.,A car stereo and a truck on a city street.
4563,"912    301061
Name: id, dtype: int64",A person is moving green hay towards an elephant that is inside the back of a white truck.,A person is moving green hay towards an elephant that is inside the back of atop a white truck.
4564,"912    301061
Name: id, dtype: int64",A man pulls an elephant out of a truck.,A man pulls an elephant bundle out of a truck.
4565,"912    301061
Name: id, dtype: int64",An elephant in the back of a truck trailer.,An elephant in the cargo of a truck trailer.
4566,"912    301061
Name: id, dtype: int64",An elephant is being fed while in a truck.,An elephant is being fed while in a tow truck.
4567,"912    301061
Name: id, dtype: int64",There is an elephant in side a truck trying to come out,There never is an elephant in side a truck trying to come out
4568,"913    105264
Name: id, dtype: int64",A group of young men standing on top of a sandy beach.,A group of young men standing on top of a sandy Mexican beach.
4569,"913    105264
Name: id, dtype: int64",people on the beach playing with a brown cow,people on the beach playing with a beautiful brown cow
4570,"913    105264
Name: id, dtype: int64",a few people running around some kind of animal,a few people running around some kind of airport
4571,"913    105264
Name: id, dtype: int64",A bull is running freely on the beach with other boys.,A bull is running freely on the highway with other boys.
4572,"913    105264
Name: id, dtype: int64",Young men playing on the beach with a cow in the foreground.,Young men playing on the roof with a cow in the foreground.
4573,"914    267434
Name: id, dtype: int64",A herd of cows are standing in a green field.,A herd of cows are standing in a green tractor.
4574,"914    267434
Name: id, dtype: int64",Several cows grazing in the field with a house in the background.,Several cows grazing in the field with a house in between the background.
4575,"914    267434
Name: id, dtype: int64",Cows and steers grazing in an old-English pasture.,Cows and steers grazing in an unused pasture.
4576,"914    267434
Name: id, dtype: int64",A group of cows grazing in a grassy field. ,A group of cows grazing in cattle field. 
4577,"914    267434
Name: id, dtype: int64",A herd of cows are by a brick house.,One herd of cows are by a brick house.
4578,"915    370711
Name: id, dtype: int64",A man's reflection taking a picture through a shop window.,A man's reflection reveals a picture through a shop window.
4579,"915    370711
Name: id, dtype: int64",A man taking a picture of items for sale through the front window of a store.,A Moroccan man taking a picture of items for sale through the front window of a store.
4580,"915    370711
Name: id, dtype: int64",A display on a store front with lots of items on display.,A display on a store front with bundles of items on display.
4581,"915    370711
Name: id, dtype: int64",a picture looking in to an umbrella shop,a picture looking in to investigate an umbrella shop
4582,"915    370711
Name: id, dtype: int64",A display of shoes and umbrellas are in a window.,A display of shoes and umbrellas are in between a window.
4583,"916    25393
Name: id, dtype: int64",a couple of men in ties are outside,a couple of men hiking in ties are outside
4584,"916    25393
Name: id, dtype: int64",Two men wearing ties cross the street at night.,Two men usually wearing ties cross the street at night.
4585,"916    25393
Name: id, dtype: int64",Two formally dressed guys are crossing the street. ,Two formally dressed fraternity guys are crossing the street. 
4586,"916    25393
Name: id, dtype: int64",Two men walking through a crosswalk at night.,Two men walking silently through a crosswalk at night.
4587,"916    25393
Name: id, dtype: int64",Two men standing on the street wearing a suit and tie,Two men standing on the street wearing brightly a suit and tie
4588,"917    471087
Name: id, dtype: int64",a man that has a shirt and a tie,a man that has a blue shirt and a tie
4589,"917    471087
Name: id, dtype: int64","A man with dark hair, a shirt and a tie posing for a picture.","A stylish man with dark hair, a shirt and a tie posing for a picture."
4590,"917    471087
Name: id, dtype: int64",A man wearing a tie poses for a photo,A man wearing a tie poses for promoting a photo
4591,"917    471087
Name: id, dtype: int64",A man poses for a picture against a brick wall.,A man poses for a passport picture against a brick wall.
4592,"917    471087
Name: id, dtype: int64",A black and white portrait of a male.,A black and white portrait of a dinosaur.
4593,"918    106757
Name: id, dtype: int64",A actress standing near an elephant on a sunny day. ,A actress standing near an elephant walking on a sunny day. 
4594,"918    106757
Name: id, dtype: int64",An older woman is talking in front of an elephant.,An older Aboriginal woman is talking in front of an elephant.
4595,"918    106757
Name: id, dtype: int64",The woman is looking at the elephant in amazement. ,older woman is looking at the elephant in amazement. 
4596,"918    106757
Name: id, dtype: int64",A woman standing behind a fence looking at an elephant.,A woman standing behind boards a fence looking at an elephant.
4597,"918    106757
Name: id, dtype: int64",an old woman standing besides an elephant smiling,an old woman standing besides an elephant enclosure smiling
4598,"919    183648
Name: id, dtype: int64",A woman pats an elephant as a couple men watch.,A woman pats an elephant as a separated couple men watch.
4599,"919    183648
Name: id, dtype: int64",Three people standing next to a large elephant,Three people standing next guard to a large elephant
4600,"919    183648
Name: id, dtype: int64",three people standing by an elephant behind a fence ,three people standing by an activist behind a fence 
4601,"919    183648
Name: id, dtype: int64",three people and one is petting an elephant,three people and one chasing an elephant
4602,"919    183648
Name: id, dtype: int64",Two men and one woman in front of an elephant.,Two men and one woman in front of charging an elephant.
4603,"920    358525
Name: id, dtype: int64",A child in a hat playing on a laptop computer,A child in a hat playing on a crappy computer
4604,"920    358525
Name: id, dtype: int64",a small child operating a laptop on a bed ,a small child operating a laptop on a flower bed 
4605,"920    358525
Name: id, dtype: int64",A very young boy is using a keyboard on a laptop computer.,A very young boy is using a keyboard on running a laptop computer.
4606,"920    358525
Name: id, dtype: int64",The little boy is having fun playing at the computer keybord,little little boy is having fun playing at the computer keybord
4607,"920    358525
Name: id, dtype: int64",Cute little boy with hat playing on laptop computer,Cute little boy with hat playing on tiny computer
4608,"921    49269
Name: id, dtype: int64",A horse in a pasture of tall grass observing an energetic dog.,A horse sat in a pasture of tall grass observing an energetic dog.
4609,"921    49269
Name: id, dtype: int64",A horse and a dog positions for a picture outside.,A horse and a dog positions outdoors for a picture outside.
4610,"921    49269
Name: id, dtype: int64",A brown horse stands over a light colored dog.,A brown horse stands over after a light colored dog.
4611,"921    49269
Name: id, dtype: int64",A dog and a horse stand together in a field.,A dog and helping a horse stand together in a field.
4612,"921    49269
Name: id, dtype: int64",A horse and a dog stand in a meadow.,A horse rider and a dog stand in a meadow.
4613,"922    79144
Name: id, dtype: int64",Bear cubs play among the fallen tree limbs.,Bear cubs play by the fallen tree limbs.
4614,"922    79144
Name: id, dtype: int64",Two young black bears playing at the zoo,Two young endangered bears playing at the zoo
4615,"922    79144
Name: id, dtype: int64",Couple of young bears playing together on tree limbs,Couple of young bears playing together on tree top limbs
4616,"922    79144
Name: id, dtype: int64",Two bear cubs are playing on a log.,Two bear cubs are playing on a wildlife log.
4617,"922    79144
Name: id, dtype: int64",Two animals playing outside on a tree branch.,Two animals playing outside on a church branch.
4618,"923    519688
Name: id, dtype: int64",A woman wearing a blue coat holds a furry animal in her arms,A woman wearing a blue coat holds a furry companion animal in her arms
4619,"923    519688
Name: id, dtype: int64",Woman smiling and holding some type of unique animal,Woman always smiling and holding some type of unique animal
4620,"923    519688
Name: id, dtype: int64",A woman in blue jacket holding a black bear cub.,A woman appears in blue jacket holding a black bear cub.
4621,"923    519688
Name: id, dtype: int64",a white woman wearing a blue jacket holding a animal,a white woman wearing a blue jacket holding back a animal
4622,"923    519688
Name: id, dtype: int64",A woman holding a wild animal in her arms,A woman holding a dead wild animal in her arms
4623,"924    431727
Name: id, dtype: int64",A pair of bears climb up in a tree.,A pair of women climb up in a tree.
4624,"924    431727
Name: id, dtype: int64",Two bears are perched on trees out in the fog. ,Two bears are sitting on trees out in the fog. 
4625,"924    431727
Name: id, dtype: int64",Two bears in the trees with snow falling.,Two bears in Idaho with snow falling.
4626,"924    431727
Name: id, dtype: int64",Two monkeys are sitting on some tree branches.,Two monkeys are sitting on some tree legs.
4627,"924    431727
Name: id, dtype: int64",Two bears up in a tree during a snow storm,Two bears up in a tree during describing a snow storm
